process_id	picked_idx	picked_sim	top_idx	top_sim	gap	picked_title	top_title
ecoli_e._coli_osmotic_stress_response	0	0.6032	1	0.6928	0.0896	Osmotic Stress.	The role of PhoP/PhoQ system in regulating stress adaptation
synthetic_positive_autoregulation	0	0.4159	1	0.5051	0.0892	Positive feedback in eukaryotic gene networks: cell differen	Regulatory dynamics of synthetic gene networks with positive
human_bcl2_bax_momp	0	0.4447	1	0.5324	0.0877	How cells die: apoptosis pathways	Mitochondria and cell death: outer membrane permeabilization
yeast_yeast_peroxisome_biogenesis	1	0.6466	0	0.7332	0.0866	Characterization of Peroxisomal Regulation Networks.	Peroxisome biogenesis.
ecoli_pho_regulon	0	0.5832	1	0.6665	0.0832	Phosphate assimilation and control of alkaline phosphatase s	The Pho regulon: a huge regulatory network in bacteria
ecoli_e._coli_stringent_response	0	0.6172	2	0.6960	0.0789	The Stringent Response Inhibits DNA Replication Initiation i	Nitrogen stress response and stringent response are coupled 
ecoli_oxidative_stress_response	0	0.7087	1	0.7871	0.0784	OxyR: a regulator of antioxidant genes	Activation of the Escherichia coli SoxRS regulon by superoxi
yeast_osmotic_stress_response	0	0.6029	3	0.6752	0.0724	Genome-Wide Transcriptional Response of Saccharomyces cerevi	Novel insights into the osmotic stress response of yeast.
yeast_ubiquitin_proteasome	0	0.6364	1	0.7076	0.0711	The ubiquitin-proteasome pathway: on protein death and cell 	The ubiquitin system
ecoli_heavy_metal_resistance	0	0.5702	2	0.6381	0.0679	The CusABC efflux system removes toxic ions via a methionine	The Escherichia coli Zur regulates ZnuABC zinc import
yeast_tor_signaling	0	0.6535	1	0.7177	0.0643	TOR signaling in growth and metabolism	Two TOR complexes, only one of which is rapamycin sensitive,
yeast_gal_regulation	0	0.7375	1	0.8008	0.0633	Multiple mechanisms provide rapid and stringent glucose repr	Transcriptional regulation in the yeast GAL gene family: a c
ecoli_flagellar_assembly	0	0.6293	1	0.6889	0.0596	Coupling of flagellar gene expression to flagellar assembly 	How bacteria assemble flagella
yeast_mitochondrial_import	0	0.6738	3	0.7328	0.0589	Mitochondrial protein import: from proteomics to functional 	The mitochondrial protein import machinery
human_nfkb_ikb_oscillator	0	0.6600	1	0.7128	0.0528	The IκB-NF-κB signaling module: temporal control and selecti	Oscillations in NF-κB signaling control the dynamics of gene
human_rig_i_mavs_antiviral	0	0.6252	1	0.6714	0.0462	MAVS forms functional prion-like aggregates to activate and 	Identification and characterization of MAVS, a mitochondrial
human_p53_apoptosis_decision	0	0.6989	1	0.7428	0.0439	p53 dynamics control cell fate	A threshold mechanism mediates p53 cell fate decision betwee
ecoli_catabolite_repression	0	0.6761	2	0.7167	0.0406	Catabolite repression and the lac operon	Regulation of bacterial metabolism by catabolite repression
human_nlrp3_inflammasome	0	0.5467	1	0.5843	0.0376	Prion-like polymerization underlies signal transduction in a	Unified polymerization mechanism for the assembly of ASC-dep
synthetic_antithetic_integral_feedback	0	0.6652	1	0.7009	0.0357	Antithetic integral feedback ensures robust perfect adaptati	A universal biomolecular integral feedback controller for ro
synthetic_coherent_ffl	0	0.5542	1	0.5862	0.0319	Structure and function of the feed-forward loop network moti	The coherent feedforward loop serves as a sign-sensitive del
ecoli_glycolysis	0	0.5630	1	0.5948	0.0318	Glycolysis	The phosphoenolpyruvate:sugar phosphotransferase system in E
