name,kingdom,file,link
168,Transcription Termination,,
169,Gene Silencing,,
170,Epigenetic Regulation,,
171,Fatty Acid Synthesis,,
172,Phospholipid Synthesis,,
173,Ergosterol Synthesis,,
174,Membrane Biogenesis,,
175,Vesicle Trafficking,,
176,Endocytosis,,
177,Sporulation,,
178,Mating,,
179,Pseudohyphal Growth,,
180,Cell Differentiation,,
181,Developmental Timing,,
182,Morphogenesis,,
183,Cell Fate Determination,,
184,Developmental Regulation,,
185,pH Homeostasis,,
186,Metal Ion Homeostasis,,
187,Nutrient Limitation Response,,
188,Temperature Adaptation,,
189,Oxygen Sensing,,
190,Carbon Source Adaptation,,
191,Nitrogen Sensing,,
192,Phosphate Sensing,,
1,Bacterial Implementation of Viral Decision Logic,,
2,Bacterial Transcription Factor Circuit,,
3,Experimental Validation Protocol,,
4,Framework Validation Metrics,,
5,Multi-Modal Input Processing,,
6,Neural Competition Network,,
7,GABA-Mediated Inhibition,,
8,Decision Execution and Response,,
9,Hippocampal-Cortical Memory Transfer,,
10,Pattern Completion Algorithms,,
11,Active Forgetting Mechanisms,,
12,Prefrontal Cortical Working Memory,,
13,NMDA Receptor-Dependent LTP,,
14,NMDA Receptor-Dependent LTD,,
15,Activity-Dependent Synaptic Scaling,,
16,Dendritic Spine Remodeling,,
17,Retinal Processing and Feature Detection,,
18,Cochlear Processing and Frequency Analysis,,
19,Olfactory Receptor Processing,,
20,Cross-Modal Integration Algorithms,,
21,Premotor Cortical Planning,,
22,Spinal Cord Motor Execution,,
23,Cerebellar Motor Learning,,
24,Basal Ganglia Movement Selection,,
25,Competitive Decision Networks,,
26,Contrast Enhancement Mechanisms,,
27,Attention and Focus Algorithms,,
28,Response Selection Mechanisms,,
29,Bacterial Implementation of Neural Threshold Logic,,
30,Bacterial Transcription Factor Threshold Circuit,,
31,Threshold Dynamics Validation,,
32,Threshold Predictability Assessment,,
1,frq Gene Expression,,
2,FRQ Protein Synthesis,,
3,FRQ Phosphorylation,,
4,WC Complex Formation,,
5,Negative Feedback Loop,,
6,FRQ Degradation,,
7,WC Activation,,
8,Positive Feedback Loop,,
9,Output Regulation,,
10,Temporal Integration,,
11,Light Harvesting,,
12,Photosystem II Activation,,
13,Water Oxidation,,
14,Electron Transport Chain,,
15,Photosystem I Activation,,
16,NADPH Synthesis,,
17,ATP Synthesis,,
18,Carbon Fixation,,
19,Calvin Cycle,,
20,Sugar Synthesis,,
21,Metabolic Regulation,,
22,Energy Integration,,
23,Light Harvesting Complex,,
24,Photosystem II,,
25,Water Splitting,,
26,Electron Transport Chain,,
27,Photosystem I,,
28,NADPH Production,,
29,ATP Synthesis,,
30,Calvin Cycle,,
31,RuBisCO Regulation,,
32,Photoprotection,,
33,C4 Pathway,,
34,Energy Balance,,
35,Water Splitting (Oxygen Evolution),,
36,ATP Synthesis (Chemiosmosis),,
37,Calvin Cycle (Carbon Fixation),,
38,Photoprotection Mechanisms,,
39,Energy Balance & Optimization,,
40,Bacterial Implementation of Viral Decision Logic,,
41,Bacterial Transcription Factor Circuit,,
42,Experimental Validation Protocol,,
43,Framework Validation Metrics,,
44,Computational Pattern Extraction,,
45,Circuit Behavior Prediction,,
46,Prediction vs Reality Comparison,,
47,Predictive Accuracy Assessment,,
48,Embryonic Patterning,,
49,Segmentation,,
50,Homeotic Regulation,,
51,Neural Development,,
52,Behavioral Genetics,,
53,Circadian Rhythms,,
54,Learning & Memory,,
55,Genetic Regulation,,
56,Embryonic Development,,
57,Cell Fate Determination,,
58,Neural Development,,
59,Behavioral Circuits,,
60,Sensory Processing,,
61,Learning & Memory,,
62,Aging & Longevity,,
63,Stress Response,,
64,Quorum Sensing,,
65,Biofilm Formation,,
66,Antibiotic Resistance,,
67,Toxin Production,,
68,Iron Acquisition,,
69,Motility & Chemotaxis,,
70,Secretion Systems,,
71,Stress Response,,
72,Dormancy Induction,,
73,Metabolic Adaptation,,
74,Immune Evasion,,
75,Stress Response,,
76,Drug Tolerance,,
77,Granuloma Formation,,
78,Reactivation Signals,,
79,Persistence Mechanisms,,
80,Virulence Regulation,,
81,Toxin Production,,
82,Biofilm Formation,,
83,Immune Evasion,,
84,Antibiotic Resistance,,
85,Quorum Sensing,,
86,Adhesion & Colonization,,
87,Persistence Mechanisms,,
88,Host Invasion,,
89,Type III Secretion,,
90,Intracellular Survival,,
91,Virulence Regulation,,
92,Metabolic Adaptation,,
93,Stress Response,,
94,Immune Evasion,,
95,Persistence & Transmission,,
96,Environmental Sensing,,
97,Sigma Factor Cascades,,
98,Cell-Cell Signaling,,
99,Asymmetric Division,,
100,Compartment Formation,,
101,Engulfment,,
102,Cortex Synthesis,,
103,Coat Assembly,,
104,Spore Maturation,,
105,Germination Readiness,,
106,σH/σF/σE/σGCascades,,
107,Cell-Cell Signaling (SpoIIR/SpoIIGA),,
108,WCC Light Activation,,
109,frq Transcription,,
110,FRQ Phosphorylation Time-delay,,
111,FRQ Inhibition of WCC,,
112,CK1/CK2 Roles,,
113,Interlocked Positive Loops,,
114,Output Pathways,,
115,Temperature Compensation,,
116,Photoadaptation,,
117,Phase Response Curves,,
118,Interlocked Positive Loops (WCC upregulation),,
119,Light Harvesting Complexes,,
120,Excitation Energy Transfer,,
121,Reaction Center Activation,,
122,Primary Charge Separation,,
123,Proton Pumping,,
124,Calvin Cycle Integration,,
125,Quantum Coherence Effects,,
126,KaiC Protein Synthesis,,
127,KaiA/KaiB Expression,,
128,KaiC Autophosphorylation,,
129,KaiA Stimulation,,
130,KaiB Inhibition,,
131,Phosphorylation Cycle,,
132,Protein Complex Formation,,
133,Temperature Compensation,,
134,Output Regulation,,
135,Light-Dark Entrainment,,
1,Infection → CII Stabilization Logic,,
2,PR/PL Early Gene Control,,
3,CI Auto-regulation,,
4,Cro Antagonism,,
5,Promoter Occupancy Dynamics,,
6,Decision Thresholding (MOI),,
7,Maintenance of Lysogeny,,
8,DNA Damage Induction,,
9,Lytic Late Gene Cascade,,
10,Decision Integration Logic,,
11,Decision Thresholding (Multiplicity of Infection),,
12,Induction by DNA Damage,,
13,Host RNAP Early Genes,,
14,T7 RNAP Expression,,
15,Class II Promoter Take-over,,
16,DNA Replication Initiation,,
17,Late Gene Activation,,
18,Structural Protein Assembly,,
19,DNA Packaging,,
20,Virion Maturation,,
21,Lysis Timing Control,,
22,Temporal Integration Logic,,
23,Host RNAP Early Genes (0-5 minutes),,
24,T7 RNAP Expression (5-8 minutes),,
25,Class II Promoter Take-over (8-12 minutes),,
26,DNA Replication Initiation (12-15 minutes),,
27,Late Gene Activation (15-20 minutes),,
28,Structural Protein Assembly (20-25 minutes),,
29,DNA Packaging (25-30 minutes),,
30,Virion Maturation (30-35 minutes),,
31,Lysis Timing Control (35-40 minutes),,
32,Host Cell Health Assessment,,
33,CI vs Cro Competitive Decision,,
34,Prophage Integration,,
35,SOS Response Induction,,
36,Class I Early Genes,,
37,Primase/Replication Coupling,,
38,Class III Strong Promoters,,
39,RNAP Processivity Controls,,
40,Anti-host Transcription Factors,,
41,DNA Replication Amplification,,
42,Assembly Cascade,,
43,Class I Early Genes (0-5 minutes),,
44,Primase/Replication Coupling (10-15 minutes),,
45,Class III Strong Promoters (15-20 minutes),,
46,RNAP Processivity Controls (Throughout infection),,
47,Anti-host Transcription Factors (8-25 minutes),,
48,DNA Replication Amplification (10-25 minutes),,
49,Assembly Cascade (20-30 minutes),,
50,Lysis Timing Control (25-30 minutes),,
51,Viral Entry,,
52,Genome Release,,
53,Translation & Processing,,
54,RNA Replication,,
55,Subgenomic Transcription,,
56,Assembly & Budding,,
57,Immune Evasion,,
58,Pathogenesis & Spread,,
59,Viral Entry,,
60,Reverse Transcription,,
61,Integration,,
62,Transcription Regulation,,
63,Assembly & Budding,,
64,Immune Evasion,,
65,Latency Establishment,,
66,Reactivation & Spread,,
1,Multi-Photoreceptor Signal Integration,,
2,COP1 vs HY5 Competitive Decision,,
3,Gibberellin-Auxin Cross-Regulation,,
4,Morphological Response Implementation,,
5,Light Sensing & Photoreception,,
6,Photosynthesis,,
7,Circadian Rhythm,,
8,Hormone Signaling,,
9,Stress Response,,
10,Development & Growth,,
11,Nutrient Uptake,,
12,Flowering Control,,
1,OR Logic Gate,,
2,NOT Logic Gate,,
3,NAND Logic Gate,,
4,Toggle Switch,,
5,Oscillator Circuit,,
6,Sensor Circuit,,
7,Amplifier Circuit,,
8,Bacterial Implementation of Viral Decision Logic,,
9,Bacterial Transcription Factor Circuit,,
10,Experimental Validation Protocol,,
11,Framework Validation Metrics,,
1,G2/M Checkpoint Decision,,
2,M Phase Progression,,
3,Cell Cycle Exit Decision,,
4,DNA Damage Response,,
5,Spindle Assembly Checkpoint,,
6,Cytokinesis Timing,,
7,Cell Cycle Synchronization,,
