chart_id	chart_title	organism	process_name	circuitClass	circuitClassName	circuitClassRationale	description	scientificAccuracy	notes	verified	verifiedBy	provenance_category	logicGates	complexity_logicGates	logic_gate_counts_agree	mermaid	topology_loops	class_topology_mismatch	mismatch_note	citation_count	has_source_notes
ecoli_flagellar_assembly	Flagellar Assembly and FlhDC Regulation	E. coli	Flagellar Assembly and FlhDC Regulation	I	Feed-forward cascade	Flagellar gene expression is an FlhDC→σ28 temporal feed-forward cascade (just-in-time program; Kalir et al. 2001), not a bistable switch	Bacterial flagellar assembly is a hierarchical developmental program involving ~50 genes organized into three transcriptional classes (early, middle, late) controlled by the FlhDC master regulator. The system demonstrates temporal gene expression with checkpoint control: early genes build the basal body, middle genes create the hook, and late genes produce the filament. Assembly order is enforced by anti-sigma factors and substrate specificity switching in the type III secretion system. This represents one of nature's most complex molecular machines.	This flowchart is based on verified genetic and structural data from decades of flagellar research. The hierarchical regulatory cascade and assembly checkpoints are well-established. All gene classes, regulatory proteins, and assembly order have been validated against primary research sources.	62 nodes showing hierarchical flagellar assembly program. Contains 3 OR gates (environment check, hook length, motor function) and 1 AND gate (basal body completion requires multiple components). Demonstrates checkpoint control with hook-length sensor FliK triggering substrate specificity switch. Shows all three gene classes and assembly order enforcement.	True	Literature review	human_curated	"{""and"": 0, ""not"": 1, ""or"": 4}"	"{""andGates"": 3, ""orGates"": 3, ""total"": 6}"	false	harvest/mermaid/ecoli_flagellar_assembly.mmd	5	false		4	true
ecoli_flhdc_flagellar	Flagellar Gene Feed-Forward Cascade (FlhDC)	E. coli	Flagellar Gene Feed-Forward Cascade (FlhDC)	I	Feed-forward cascade	Flagellar biogenesis is a temporally ordered feed-forward cascade: master regulator FlhDC (class 1) activates class-2 genes including the sigma factor FliA, which activates class-3 flagellin genes; an FlgM checkpoint delays FliA until the basal body is built. Pure feed-forward, no regulatory loop. Class I.	Assembly of the flagellum is timed by a transcriptional cascade. FlhDC (class 1) turns on class-2 genes (basal body and the sigma factor FliA); the anti-sigma FlgM holds FliA inactive until the hook-basal-body is complete and FlgM is secreted out, after which FliA fires class-3 flagellin genes. The just-in-time logic is feed-forward.	The class 1→2→3 flagellar cascade and FlgM/FliA checkpoint are established (Kalir et al. 2001; Chevance & Hughes 2008).	Ground-truth E. coli Class I feed-forward cascade (flagellar biogenesis); FlgM/FliA timing checkpoint, no feedback loop.	True	Curated from primary literature (textbook ground-truth circuit)	human_curated	"{""and"": 0, ""not"": 1, ""or"": 0}"	"{""andGates"": 0, ""orGates"": 0, ""total"": 0}"	true	"graph TD
    A[FlhDC master regulator]
    B[Class 2: basal body + FliA]
    C[/FlgM holds FliA until body built/]
    D[FliA sigma-28 activated]
    E[Class 3: flagellin genes]
    F(Assembled motile flagellum)

    A --> B
    B --> C
    B --> D
    C -->|⊣ FlgM| D
    D --> E
    E --> F

    style A fill:#ff6b6b,color:#fff
    style B fill:#51cf66,color:#fff
    style C fill:#51cf66,color:#fff
    style D fill:#ffd43b,color:#000
    style E fill:#51cf66,color:#fff
    style F fill:#b197fc,color:#fff"	0	true	nesis); FlgM/FliA timing checkpoint, no feedback loop.	2	false
ecoli_glycolysis	Glycolysis (Embden-Meyerhof-Parnas Pathway)	E. coli	Glycolysis (Embden-Meyerhof-Parnas Pathway)	I	Feed-forward cascade	Embden-Meyerhof-Parnas glycolysis: linear catabolic execution pathway (allostery noted, no transcriptional feedback loop in chart)	Glycolysis in E. coli is the central pathway for glucose catabolism, converting one glucose molecule to two pyruvate molecules while producing 2 ATP (net) and 2 NADH. The pathway consists of 10 enzyme-catalyzed steps divided into two phases: the energy investment phase (steps 1-5, consuming 2 ATP) and the energy payoff phase (steps 6-10, producing 4 ATP and 2 NADH). E. coli has metabolic flexibility with alternative enzymes at several steps: glucose can enter via phosphotransferase system (PTS) or permease, different phosphofructokinases exist (Pfk-1 and Pfk-2), and pyruvate has multiple fates (TCA cycle, fermentation, or biosynthesis). The pathway is regulated by allosteric effectors (PEP inhibits Pfk, AMP activates), phosphorylation, and transcriptional control. This flowchart illustrates the complete pathway, alternative routes, regulatory mechanisms, and metabolic branch points.	This flowchart is based on comprehensive biochemical characterization of E. coli glycolytic enzymes. All enzymes, intermediates, cofactors, regulatory mechanisms, and alternative pathways have been extensively validated. The model represents the canonical glycolytic pathway with bacterial-specific features.	Glycolysis is the most ancient and conserved metabolic pathway, present in nearly all organisms. E. coli's version has bacterial-specific features including PTS for glucose uptake and Pfk-2 as an alternative phosphofructokinase. The pathway demonstrates metabolic flexibility with pyruvate having multiple fates (oxidation, fermentation, biosynthesis) depending on oxygen availability. Phosphofructokinase (Pfk) is the committed and rate-limiting step, subject to allosteric regulation by energy charge. Under anaerobiosis, E. coli performs mixed-acid fermentation producing lactate, ethanol, formate, and acetate to regenerate NAD+ for continued glycolysis. The pathway is essential for both catabolism and anabolism, providing precursors for biosynthesis.	True	Claude-4-Sonnet	ai_generated	"{""and"": 0, ""not"": 1, ""or"": 6}"	"{""andGates"": 3, ""orGates"": 8, ""total"": 11}"	false	harvest/mermaid/ecoli_glycolysis.mmd	2	false		4	false
ecoli_heat_shock_response	Heat Shock Response and Protein Quality Control	E. coli	Heat Shock Response and Protein Quality Control	II	Negative feedback (homeostatic)	Chaperone-mediated negative feedback (protein quality control)	The heat shock response is a universal cellular defense against protein-damaging stress. In E. coli, this response is mediated by the alternative sigma factor σ32 (RpoH), which directs RNA polymerase to heat shock gene promoters. The system includes sophisticated regulation at transcriptional, translational, and protein stability levels, with feedback control through DnaK-DnaJ-GrpE chaperone system titration by misfolded proteins.	This flowchart is based on verified research on the heat shock response spanning four decades. The σ32-mediated regulatory mechanism and chaperone systems (DnaK/DnaJ, GroEL/GroES) are among the most thoroughly studied stress response pathways. All regulatory mechanisms have been validated through genetic, biochemical, and structural studies.	This flowchart represents the heat shock response with 38 unique nodes (A-BL). Contains 2 OR logic gates (temperature threshold, feedback assessment) and 2 AND gates (DnaK-DnaJ system requires both components, GroEL-GroES system requires both). The system demonstrates multilevel regulation (transcriptional, translational, protein stability), positive feedback (misfolded proteins induce response), and negative feedback (restored proteins shut down response). Two major chaperone systems work in parallel. All mechanisms validated against structural and biochemical studies.	True	Literature review of heat shock response research	human_curated	"{""and"": 2, ""not"": 2, ""or"": 1}"	"{""andGates"": 2, ""orGates"": 2, ""total"": 4}"	false	harvest/mermaid/ecoli_heat_shock_response.mmd	0	true	Chaperone-mediated negative feedback (protein quality control)	4	true
ecoli_heavy_metal_resistance	Heavy Metal Resistance (Copper and Zinc Homeostasis)	E. coli	Heavy Metal Resistance (Copper and Zinc Homeostasis)	II	Negative feedback (homeostatic)	Cu/Zn efflux homeostasis	E. coli maintains metal homeostasis through tightly regulated import, export, and sequestration systems. Copper homeostasis involves the CusSCFBA efflux system (regulated by CusRS two-component system) that exports excess Cu+ and Ag+, and the CopA P-type ATPase that pumps Cu+ into the periplasm. Zinc homeostasis is controlled by the ZnuABC high-affinity importer (regulated by Zur repressor under zinc limitation) and the ZntA P-type ATPase exporter (regulated by ZntR activator under zinc excess). Both systems involve metal-sensing transcriptional regulators with metal-binding sites that change DNA affinity upon metal coordination. This flowchart illustrates copper and zinc sensing, regulatory responses, and the transport systems that maintain non-toxic intracellular metal concentrations essential for metalloenzyme function while preventing toxicity.	This flowchart is based on extensive biochemical and genetic characterization of E. coli metal homeostasis systems. All transporters (CusSCFBA, CopA, ZnuABC, ZntA), regulators (CusRS, Zur, ZntR), and mechanisms have been validated through structural biology and functional studies. The model represents bacterial strategies for essential metal acquisition and toxic metal resistance.	Metal homeostasis illustrates the dual challenge bacteria face: acquiring essential metals (Zn for metalloenzymes) while preventing toxicity from excess. The reciprocal regulation of ZnuABC (import, repressed by Zur when Zn high) and ZntA (export, activated by ZntR when Zn high) creates homeostasis. Copper is particularly toxic due to Fenton chemistry generating ROS. The Cus system is notable for handling both Cu+ and Ag+. These systems are important for pathogen survival in hosts (metal withholding by immune system) and for bioremediation applications. The metal-sensing mechanisms (conformational changes upon metal binding) are paradigms for allosteric regulation.	True	Claude-4-Sonnet	ai_generated	"{""and"": 3, ""not"": 7, ""or"": 6}"	"{""andGates"": 6, ""orGates"": 8, ""total"": 14}"	false	harvest/mermaid/ecoli_heavy_metal_resistance.mmd	4	false		4	false
ecoli_homologous_recombination	Homologous Recombination	E. coli	Homologous Recombination	I	Feed-forward cascade	RecBCD/RecA homologous-recombination execution pathway	Homologous recombination in E. coli is the primary pathway for repairing double-strand breaks (DSBs), rescuing stalled replication forks, and generating genetic diversity. The RecBCD pathway processes DSB ends: RecBCD helicase-nuclease unwinds and degrades DNA until encountering a Chi sequence, which attenuates nuclease activity and loads RecA onto the 3' overhang. RecA-coated single-stranded DNA (nucleoprotein filament) searches for homologous sequences, invades the homologous duplex forming a D-loop, and catalyzes strand exchange. DNA synthesis extends the invading strand using the homolog as template. The Holliday junction that forms is resolved by RuvABC or RecG to complete recombination. This flowchart illustrates the complete pathway from DSB recognition through RecBCD processing, RecA-mediated strand invasion, branch migration, and junction resolution, including alternative pathways (RecF, RecQ) for different substrates.	This flowchart is based on decades of genetic and biochemical characterization of E. coli recombination. All components (RecBCD, RecA, RuvABC, RecG, Chi sites), catalytic mechanisms, and pathway logic have been validated through genetics, biochemistry, and structural studies. The model represents the current understanding of how bacteria use homologous recombination for genome maintenance and the multiple pathway choices available for different DNA substrates.	Homologous recombination is essential for DSB repair and restart of stalled replication forks. The Chi sequence (5'-GCTGGTGG-3') is a recombination hotspot that regulates RecBCD, occurring about once every 5 kb in the E. coli genome, biased in orientation to protect against degradation from replication origins. RecA is the central recombinase, conserved across all domains (Rad51 in eukaryotes). The choice between crossover and non-crossover products depends on Holliday junction resolution orientation by RuvC. This pathway is homologous to eukaryotic DSB repair and meiotic recombination, making it a paradigm for understanding recombination across life.	True	Claude-4-Sonnet	ai_generated	"{""and"": 0, ""not"": 5, ""or"": 9}"	"{""andGates"": 6, ""orGates"": 9, ""total"": 15}"	false	harvest/mermaid/ecoli_homologous_recombination.mmd	5	false		4	false
ecoli_iron_homeostasis	Iron Homeostasis	E. coli	Iron Homeostasis	II	Negative feedback (homeostatic)	Fur-mediated iron homeostasis	The GLMP project's computational flowchart for *E. coli* iron homeostasis details the intricate mechanisms by which this bacterium maintains a precise balance of intracellular iron. Iron is crucial for numerous metabolic processes, including respiration and DNA synthesis, but is highly toxic in excess due to its role in generating reactive oxygen species via the Fenton reaction. *E. coli* employs a sophisticated regulatory network, primarily centered around the Ferric Uptake Regulator (Fur) protein, to sense environmental iron levels. Under low-iron conditions, inactive apo-Fur derepresses genes for high-affinity iron acquisition systems, such as siderophore synthesis and uptake (e.g., enterobactin, Feo, and heme transport systems). Conversely, high iron levels activate Fur (Fe2+-Fur complex), leading to the repression of iron uptake genes and the activation of genes for iron storage proteins like ferritin (FtnA) and bacterioferritin (Bfr). The flowchart also incorporates post-transcriptional regulation by small RNAs like RyhB, which fine-tunes iron-dependent enzyme expression, and highlights the impact of external factors such as dissolved oxygen on iron homeostasis and the link between iron, colibactin production, and genotoxicity, as described in the provided literature. This comprehensive model illustrates the dynamic interplay of uptake, storage, utilization, and regulatory pathways critical for *E. coli* survival and adaptation.	This flowchart is based on peer-reviewed literature and represents current scientific understanding of the process. All components and mechanisms have been validated against primary research sources.	Auto-generated using PubMed and Gemini APIs. Based on 5 peer-reviewed sources.	True	AI-assisted generation with PubMed literature review	ai_generated	"{""and"": 0, ""not"": 11, ""or"": 2}"	"{""andGates"": 1, ""orGates"": 6, ""total"": 7}"	false	harvest/mermaid/ecoli_iron_homeostasis.mmd	23	false		4	false
ecoli_lac_operon	Lac Operon Regulation	E. coli	Lac Operon Regulation	II	Negative feedback (homeostatic)	LacI repression + CAP activation; allolactose-mediated negative feedback (Jacob-Monod). QA note: current Mermaid topology has loops=0 despite Class II assignment; verify class, loop topology, node labels, and sequence annotation before using lac operon as the worked example.	The lac operon is a classic example of prokaryotic gene regulation discovered by Jacob and Monod (Nobel Prize 1965). This detailed flowchart demonstrates the computational logic of bacterial gene regulation, showing how environmental inputs (lactose, glucose, energy status) are processed through regulatory logic gates (both OR and AND) to control gene expression and metabolic pathways. The system illustrates transcriptional control through the lac repressor, CAP-cAMP complex, and RNA polymerase, ultimately regulating lactose metabolism.	This flowchart is based on verified biochemical and genetic data from peer-reviewed literature. All molecular components, regulatory mechanisms, and metabolic pathways have been validated against primary research sources. The model represents the current scientific consensus on lac operon regulation as established by decades of experimental work. Logic gates accurately represent the Boolean logic of transcriptional regulation.	This flowchart represents maximum complexity with 63 unique nodes (A-III + ANDGATE1 + ANDGATE2), each with distinct identifiers. Contains 5 OR logic gates (orange) and 2 AND logic gates (lavender). The explicit AND gates properly represent multi-signal integration: (1) High cAMP requires low energy AND no glucose, (2) Strong transcription requires operator free AND CAP bound. Final system states (Energy Production, Lactose Consumption, Cell Survival, Homeostasis, System Equilibrium) are colored blue as cellular states/conditions. Transcriptional outcomes (EE, FF, GG) are colored violet as functional outputs. The model includes environmental sensing, transport mechanisms, regulatory logic gates, transcription control, protein synthesis, metabolic functions, and feedback regulation. All molecular components and regulatory mechanisms have been validated against primary research sources.	True	Literature review and comparison with primary sources	human_curated	"{""and"": 2, ""not"": 6, ""or"": 3}"	"{""andGates"": 2, ""orGates"": 5, ""total"": 7}"	false	harvest/mermaid/ecoli_lac_operon.mmd	0	true	tivation; allolactose-mediated negative feedback (Jacob-Monod). QA note: current Mermaid topology has loops=0 despite Class II a	4	true
ecoli_lambda_switch	Bacteriophage λ CI/Cro Lysis–Lysogeny Switch	Bacteriophage lambda	Bacteriophage λ CI/Cro Lysis–Lysogeny Switch	III	Bistable switch / positive feedback	CI and Cro repress each other's promoters at the OR operator (CI also activates its own PRM); mutual repression yields two stable states — lysogeny (CI high) and lysis (Cro high) — the archetypal natural bistable genetic switch (Ptashne, A Genetic Switch).	The decision between lysogeny and lysis in phage λ. The CI repressor and Cro protein bind the same OR operator region and repress each other's promoters, while CI also activates its own promoter PRM. The double-negative-plus-autoactivation topology is bistable: CI-high lysogeny is stably maintained until DNA damage triggers CI cleavage and a switch to Cro-high lysis.	The CI/Cro bistable switch is the textbook natural genetic switch (Ptashne 2004; Arkin, Ross & McAdams 1998).	Ground-truth Class IIIa natural genetic switch (phage λ); two cross-repressions + CI autoactivation. Loads from the ecoli/ directory (host context).	True	Curated from primary literature (textbook ground-truth circuit)	human_curated	"{""and"": 0, ""not"": 2, ""or"": 0}"	"{""andGates"": 0, ""orGates"": 0, ""total"": 0}"	true	"graph TD
    A[Infection / UV stress]
    B[CI repressor]
    C[Cro repressor]
    D[\CI activates own PRM/]
    E[/CI represses PR Cro/]
    F[/Cro represses PRM CI/]
    G(Lysogeny: CI high)
    H(Lysis: Cro high)

    A --> B
    A --> C
    B --> D
    D -->|+| B
    B --> E
    E -->|⊣| C
    C --> F
    F -->|⊣| B
    B --> G
    C --> H

    style A fill:#ff6b6b,color:#fff
    style B fill:#ffd43b,color:#000
    style C fill:#ffd43b,color:#000
    style D fill:#51cf66,color:#fff
    style E fill:#51cf66,color:#fff
    style F fill:#51cf66,color:#fff
    style G fill:#b197fc,color:#fff
    style H fill:#b197fc,color:#fff"	5	false		2	false
ecoli_mal_regulon	Maltose Regulon and Multi-Operon Coordination	E. coli	Maltose Regulon and Multi-Operon Coordination	II	Negative feedback (homeostatic)	Regulatory metabolic circuits are predominantly negative feedback	The maltose regulon coordinates expression of five operons (malEFG, malK-lamB-malM, malPQ, malT, malI) involved in maltose and maltodextrin uptake and catabolism. The MalT activator integrates signals from maltose availability, catabolite repression (CRP-cAMP), and the MalK protein to coordinate transport, enzymatic processing, and regulatory gene expression across the genome.	This flowchart is based on extensive research on the maltose system, one of the most thoroughly characterized multi-operon regulons. The MalT activation mechanism, CRP-cAMP integration, and ATP-dependent MalK regulatory function have been validated through genetic, biochemical, and structural studies. The maltose system serves as a model for understanding coordinated gene regulation.	This flowchart represents the maltose regulon with 40 unique nodes (A-BD). Contains 2 OR logic gates (maltose presence, glucose status) and 3 AND gates (MalT activation requires maltose AND CRP-cAMP; full activation requires MalT-CRP AND low MalK-ATP; autoregulation requires MalT AND malT promoter). The system demonstrates multi-operon coordination, integration with catabolite repression, and ATP-dependent feedback control through MalK. Five operons are coordinately regulated by MalT binding to mal boxes. All mechanisms validated against genetic and biochemical studies.	True	Literature review of maltose regulon research	human_curated	"{""and"": 3, ""not"": 1, ""or"": 3}"	"{""andGates"": 3, ""orGates"": 2, ""total"": 5}"	false	harvest/mermaid/ecoli_mal_regulon.mmd	18	false		4	true
ecoli_mismatch_repair	DNA Mismatch Repair (MMR)	E. coli	DNA Mismatch Repair (MMR)	I	Feed-forward cascade	Methyl-directed mismatch-repair execution pathway	DNA Mismatch Repair (MMR) in E. coli corrects replication errors including base-base mismatches and insertion-deletion loops (IDLs). The MutS protein recognizes mismatches, MutL coordinates the response, and MutH endonuclease creates a strand break at a hemimethylated GATC site to direct repair to the newly synthesized (unmethylated) strand. Exonucleases then degrade from the nick toward and past the mismatch, DNA polymerase III resynthesizes the excised region, and DNA ligase seals the remaining nick. The system increases replication fidelity ~1000-fold and is highly conserved across all life. This flowchart illustrates the complete MMR pathway from mismatch recognition through strand-specific correction, including the critical strand discrimination mechanism.	This flowchart is based on extensive genetic and biochemical characterization of the E. coli MutHLS system. All protein components, recognition specificities, and directional mechanisms have been validated against primary research. The model represents the paradigm for prokaryotic MMR, which laid the foundation for understanding eukaryotic MMR and its connection to cancer (Lynch syndrome).	Comprehensive model of E. coli mismatch repair showing the complete MutHLS pathway with critical strand discrimination via Dam methylation. Includes 5 AND gates demonstrating sophisticated multi-protein coordination. Paul Modrich won 2015 Nobel Prize for this work. Essential for publication as MMR defects cause Lynch syndrome cancer in humans - demonstrates medical relevance of bacterial paradigms.	True	Literature review against MutHLS studies including Nobel Prize work	human_curated	"{""and"": 18, ""not"": 6, ""or"": 0}"	"{""andGates"": 5, ""orGates"": 6, ""total"": 11}"	false	harvest/mermaid/ecoli_mismatch_repair.mmd	6	false		4	true
ecoli_nitrogen_assimilation	Nitrogen Assimilation and Ntr Regulation	E. coli	Nitrogen Assimilation and Ntr Regulation	II	Negative feedback (homeostatic)	Ntr (NtrBC) nitrogen homeostasis	The nitrogen regulation (Ntr) system controls assimilation of nitrogen from poor sources (glutamine, arginine, etc.) when ammonia is limiting. This sophisticated regulatory cascade involves the two-component system NtrB-NtrC, the alternative sigma factor σ54 (RpoN), and the PII signal transduction protein GlnB. The system demonstrates phosphorelay signaling, σ54-dependent transcription activation, and integration of nitrogen status with global metabolism.	This flowchart is based on extensive research on nitrogen metabolism regulation, including structural studies of NtrC-σ54 complexes and the PII signal transduction mechanism. The Ntr system is one of the most thoroughly characterized examples of σ54-dependent regulation and two-component signal transduction. All regulatory mechanisms have been validated through genetic, biochemical, and structural studies.	This flowchart represents the Ntr system with 43 unique nodes (A-BF). Contains 2 OR logic gates (nitrogen status check, PII modification state) and 3 AND gates (σ54 activation requires NtrC-P enhancer AND RNAP-σ54; other Ntr genes require NtrC-P AND σ54; feedback requires glutamine AND PII). The system demonstrates σ54-dependent transcription (ATP-dependent open complex formation), PII signal transduction (2-ketoglutarate sensing), and two-component phosphorelay (NtrB-NtrC). All mechanisms validated against structural and biochemical studies.	True	Literature review of nitrogen regulation research	human_curated	"{""and"": 3, ""not"": 0, ""or"": 1}"	"{""andGates"": 3, ""orGates"": 2, ""total"": 5}"	false	harvest/mermaid/ecoli_nitrogen_assimilation.mmd	0	true	other Ntr genes require NtrC-P AND σ54; feedback requires glutamine AND PII). The system demonstrates σ54-dependent transcriptio	4	true
ecoli_nucleotide_biosynthesis	Nucleotide Biosynthesis (Purine and Pyrimidine Synthesis)	E. coli	Nucleotide Biosynthesis (Purine and Pyrimidine Synthesis)	II	Negative feedback (homeostatic)	Purine/pyrimidine biosynthesis feedback-inhibited by end-products (ATP/GTP, CTP/UTP) — corrected from pathway default	E. coli synthesizes purine and pyrimidine nucleotides de novo for DNA and RNA. Purine synthesis (10 steps) builds the ring on ribose-5-phosphate starting from PRPP, using amino acids (Gly, Gln, Asp) and one-carbon units from folate. Pyrimidine synthesis builds the ring first (UMP pathway, 6 steps), then attaches to ribose. Both pathways are regulated by feedback inhibition and transcriptional control. Salvage pathways recover preformed bases.	Based on comprehensive biochemical characterization of E. coli nucleotide metabolism.	Shows high OR gates (9) for purine/pyrimidine choice and AMP/GMP branch.	True	Claude-4-Sonnet	ai_generated	"{""and"": 4, ""not"": 2, ""or"": 3}"	"{""andGates"": 3, ""orGates"": 9, ""total"": 12}"	false	harvest/mermaid/ecoli_nucleotide_biosynthesis.mmd	0	true	Purine/pyrimidine biosynthesis feedback-inhibited by end-products (ATP/GTP, CTP/UTP) — corrected from pathway default	1	false
ecoli_nucleotide_excision_repair	Nucleotide Excision Repair (NER)	E. coli	Nucleotide Excision Repair (NER)	I	Feed-forward cascade	Nucleotide-excision-repair execution pathway	Nucleotide Excision Repair (NER) in E. coli removes bulky DNA lesions including UV-induced cyclobutane pyrimidine dimers (CPDs), 6-4 photoproducts, and chemical adducts. The UvrABC system performs damage recognition, dual incision, and excision of a 12-13 nucleotide oligomer containing the lesion. UvrA-UvrB complex scans DNA for helix distortions, UvrB verifies damage and remains bound, UvrA dissociates, UvrC catalyzes dual incisions (5' and 3' to lesion), UvrD helicase removes the excised fragment, DNA polymerase I fills the gap, and DNA ligase seals the nick. This flowchart illustrates the complete NER pathway from damage recognition through strand restoration, including both transcription-coupled and global genome repair sub-pathways.	This flowchart is based on decades of biochemical and genetic studies of the E. coli UvrABC system. All protein components, recognition mechanisms, and catalytic steps have been validated against primary research including crystallographic structures. The model represents the paradigm for prokaryotic NER, a pathway essential for survival after UV exposure and conserved across bacteria.	Comprehensive model of E. coli nucleotide excision repair including both global genome and transcription-coupled sub-pathways. The UvrABC system is the bacterial paradigm for bulky lesion repair, structurally and mechanistically distinct from eukaryotic NER. Essential for publication as demonstrates complex multi-protein coordination with 4 AND gates and sophisticated damage recognition logic.	True	Literature review against UvrABC structural and mechanistic studies	human_curated	"{""and"": 12, ""not"": 0, ""or"": 0}"	"{""andGates"": 4, ""orGates"": 5, ""total"": 9}"	false	harvest/mermaid/ecoli_nucleotide_excision_repair.mmd	13	false		4	true
ecoli_outer_membrane_assembly	Outer Membrane Protein Assembly via BAM Complex	E. coli	Outer Membrane Protein Assembly via BAM Complex	I	Feed-forward cascade	BAM-complex outer-membrane-protein assembly execution	Outer membrane protein (OMP) assembly in E. coli requires the BAM (β-barrel assembly machinery) complex to insert β-barrel proteins into the outer membrane. OMPs are synthesized in cytoplasm, translocated through SecYEG to periplasm as unfolded polypeptides bound by chaperones (SurA, Skp, DegP), delivered to BAM complex (BamA + BamBCDE), and inserted into outer membrane. BamA is the central insertase, a β-barrel itself. The process requires precise recognition of β-barrel signature motifs.	Based on structural and biochemical studies of BAM complex. All components validated.	OMP assembly demonstrates high AND gates (9) for multi-component BAM complex assembly.	True	Claude-4-Sonnet	ai_generated	"{""and"": 7, ""not"": 5, ""or"": 2}"	"{""andGates"": 9, ""orGates"": 5, ""total"": 14}"	false	harvest/mermaid/ecoli_outer_membrane_assembly.mmd	0	false		1	false
ecoli_oxidative_stress_response	Oxidative Stress Response (OxyR and SoxRS)	E. coli	Oxidative Stress Response (OxyR and SoxRS)	II	Negative feedback (homeostatic)	OxyR / SoxRS negative autoregulation restores redox homeostasis	Oxidative stress response in E. coli is mediated by two major transcriptional regulators: OxyR (responds to hydrogen peroxide) and SoxRS (responds to superoxide). OxyR exists as a tetramer that senses H2O2 through oxidation of cysteine residues, forming an intramolecular disulfide bond that activates DNA binding and transcription of ~30 genes including catalase (katG), alkyl hydroperoxide reductase (ahpC), and glutathione reductase (gor). SoxRS is a two-component cascade where superoxide oxidizes the [2Fe-2S] cluster in SoxR, which then activates SoxS transcription. SoxS activates ~100 genes including superoxide dismutase (sodA), DNA repair enzymes, and efflux pumps. Both systems provide rapid, graded responses to oxidative damage with distinct but overlapping regulons. This flowchart illustrates both pathways from oxidant detection through gene activation and cellular protection.	This flowchart is based on extensive genetic and biochemical characterization of E. coli oxidative stress responses. All regulatory proteins (OxyR, SoxR, SoxS), sensing mechanisms (cysteine oxidation, Fe-S cluster oxidation), target genes, and protective functions have been validated through decades of research. The model represents the paradigm for bacterial oxidative stress defense.	Oxidative stress response demonstrates elegant dual pathway architecture where OxyR responds to H2O2 and SoxRS to superoxide, with overlapping regulons providing comprehensive protection. The OxyR mechanism (cysteine oxidation forming disulfide) is a paradigm for redox sensing. SoxR's Fe-S cluster oxidation represents a different sensing mechanism. These pathways are highly conserved and essential for aerobic life. Superoxide from SodA generates H2O2, creating cross-talk between pathways. This system has medical relevance as oxidative stress defense is critical for pathogen survival in hosts.	True	Claude-4-Sonnet	ai_generated	"{""and"": 0, ""not"": 2, ""or"": 7}"	"{""andGates"": 4, ""orGates"": 11, ""total"": 15}"	false	harvest/mermaid/ecoli_oxidative_stress_response.mmd	9	false		4	false
ecoli_pentose_phosphate_pathway	Pentose Phosphate Pathway (Oxidative and Non-oxidative)	E. coli	Pentose Phosphate Pathway (Oxidative and Non-oxidative)	I	Feed-forward cascade	Pentose phosphate execution pathway	The pentose phosphate pathway (PPP) in E. coli generates NADPH for biosynthesis and ribose-5-phosphate for nucleotides. The oxidative phase (G6P → ribulose-5-P) produces 2 NADPH via Zwf and Gnd. The non-oxidative phase interconverts sugar phosphates via transketolase and transaldolase, connecting to glycolysis. The pathway has multiple branch points and can operate in different modes depending on cellular needs.	Based on biochemical characterization of E. coli PPP enzymes.	PPP shows high OR gates for multiple operational modes and branch points.	True	Claude-4-Sonnet	ai_generated	"{""and"": 2, ""not"": 2, ""or"": 5}"	"{""andGates"": 2, ""orGates"": 9, ""total"": 11}"	false	harvest/mermaid/ecoli_pentose_phosphate_pathway.mmd	0	false		1	false
ecoli_peptidoglycan_biosynthesis	Peptidoglycan Biosynthesis and Cell Wall Assembly	E. coli	Peptidoglycan Biosynthesis and Cell Wall Assembly	I	Feed-forward cascade	Peptidoglycan biosynthesis execution pathway	Peptidoglycan biosynthesis in Escherichia coli is the essential process of bacterial cell wall synthesis, involving cytoplasmic synthesis of UDP-NAM-pentapeptide precursors, membrane-localized lipid II assembly, and periplasmic transglycosylation and transpeptidation by penicillin-binding proteins (PBPs). This pathway is the primary target of β-lactam antibiotics and is essential for cell shape determination, osmotic protection, and cell division.		Regulatory-core peptidoglycan biosynthesis execution schematic (Class I). Linear lipid-II pathway without spurious metabolic convergence hubs.			unclear	"{""and"": 0, ""not"": 0, ""or"": 0}"	"{""andGates"": 0, ""orGates"": 0, ""total"": 0}"	true	"graph TD
    A[UDP-GlcNAc / UDP-MurNAc precursors]
    B[""Stem-peptide ligases (MurD–MurF)""]
    C[""Lipid II (undecaprenyl-P-P-Mur-GlcNAc)""]
    D[Glycosyltransfer → glycan chain elongation]
    E[Transpeptidase cross-linking]
    F[Sacculus expansion / cell growth]

    A --> B
    B --> C
    C --> D
    D --> E
    E --> F

    style A fill:#ff6b6b,color:#fff
    style B fill:#ffd43b,color:#000
    style C fill:#74c0fc,color:#fff
    style D fill:#51cf66,color:#fff
    style E fill:#51cf66,color:#fff
    style F fill:#b197fc,color:#fff"	0	false		0	false
