chart_id	chart_title	pmid	doi	title	authors	year	url	raw_citation
bacillus_spo0a_sporulation	Spo0A Phosphorelay Sporulation Commitment	15187183	10.1128/MMBR.68.2.234-262.2004	Compartmentalization of gene expression during Bacillus subtilis spore formation	Hilbert DW, Piggot PJ	2004		"Hilbert DW, Piggot PJ. ""Compartmentalization of gene expression during Bacillus subtilis spore formation"". Microbiology and Molecular Biology Reviews. 2004. PubMed: 15187183. doi:10.1128/MMBR.68.2.234-262.2004"
bacillus_sporulation_initiation	Sporulation Initiation and Spo0A Phosphorelay	8257105	10.1146/annurev.mi.47.100193.002301	Regulation of the phosphorelay and the initiation of sporulation in Bacillus subtilis	Hoch JA	1993		"Hoch JA. ""Regulation of the phosphorelay and the initiation of sporulation in Bacillus subtilis"". Annual Review of Microbiology. 1993. PubMed: 8257105. doi:10.1146/annurev.mi.47.100193.002301"
bacillus_sporulation_initiation	Sporulation Initiation and Spo0A Phosphorelay	1846779	10.1016/0092-8674(91)90238-t	Initiation of sporulation in B. subtilis is controlled by a multicomponent phosphorelay	Burbulys D, Trach KA, Hoch JA	1991		"Burbulys D, Trach KA, Hoch JA. ""Initiation of sporulation in B. subtilis is controlled by a multicomponent phosphorelay"". Cell. 1991. PubMed: 1846779. doi:10.1016/0092-8674(91)90238-t"
bacillus_sporulation_initiation	Sporulation Initiation and Spo0A Phosphorelay	16166384	10.1101/gad.1335705	Evidence that entry into sporulation in Bacillus subtilis is governed by a gradual increase in the level and activity of the master regulator Spo0A	Fujita M, Losick R	2005		"Fujita M, Losick R. ""Evidence that entry into sporulation in Bacillus subtilis is governed by a gradual increase in the level and activity of the master regulator Spo0A"". Genes & Development. 2005. PubMed: 16166384. doi:10.1101/gad.1335705"
bacillus_sporulation_initiation	Sporulation Initiation and Spo0A Phosphorelay	8825484	10.1146/annurev.ge.29.120195.002401	Genetic networks controlling the initiation of sporulation and the development of genetic competence in Bacillus subtilis	Grossman AD	1995		"Grossman AD. ""Genetic networks controlling the initiation of sporulation and the development of genetic competence in Bacillus subtilis"". Annual Review of Genetics. 1995. PubMed: 8825484. doi:10.1146/annurev.ge.29.120195.002401"
celegans_dauer_decision	C. elegans Dauer Developmental Switch	17988075	10.1895/wormbook.1.144.1	Dauer	Hu PJ	2007		"Hu PJ. ""Dauer"". WormBook. 2007. PubMed: 17988075. doi:10.1895/wormbook.1.144.1"
celegans_dauer_decision	C. elegans Dauer Developmental Switch	6896933	10.1126/science.6896933	A pheromone influences larval development in the nematode Caenorhabditis elegans	Golden JW, Riddle DL	1982		"Golden JW, Riddle DL. ""A pheromone influences larval development in the nematode Caenorhabditis elegans"". Science. 1982. PubMed: 6896933. doi:10.1126/science.6896933"
celegans_heterochronic_clock	Heterochronic microRNA Timing Cascade	8252621	10.1016/0092-8674(93)90529-Y	The C. elegans heterochronic gene lin-4 encodes small RNAs with antisense complementarity to lin-14	Lee RC, Feinbaum RL, Ambros V	1993		"Lee RC, Feinbaum RL, Ambros V. ""The C. elegans heterochronic gene lin-4 encodes small RNAs with antisense complementarity to lin-14"". Cell. 1993. PubMed: 8252621. doi:10.1016/0092-8674(93)90529-Y"
celegans_heterochronic_clock	Heterochronic microRNA Timing Cascade	10706289	10.1038/35002607	The 21-nucleotide let-7 RNA regulates developmental timing in Caenorhabditis elegans	Reinhart BJ, Slack FJ, Basson M, et al.	2000		"Reinhart BJ, Slack FJ, Basson M, et al.. ""The 21-nucleotide let-7 RNA regulates developmental timing in Caenorhabditis elegans"". Nature. 2000. PubMed: 10706289. doi:10.1038/35002607"
drosophila_gap_gene_network	Drosophila Gap-Gene Patterning Network	20927566	10.1007/s00018-010-0536-y	The gap gene network	Jaeger J	2011		"Jaeger J. ""The gap gene network"". Cellular and Molecular Life Sciences. 2011. PubMed: 20927566. doi:10.1007/s00018-010-0536-y"
drosophila_gap_gene_network	Drosophila Gap-Gene Patterning Network	14685241	10.1038/nature02189	A self-organizing system of repressor gradients establishes segmental complexity in Drosophila	Clyde DE, Corado MSG, Wu X, et al.	2003		"Clyde DE, Corado MSG, Wu X, et al.. ""A self-organizing system of repressor gradients establishes segmental complexity in Drosophila"". Nature. 2003. PubMed: 14685241. doi:10.1038/nature02189"
drosophila_segment_polarity	Segment-Polarity Network (wg/en/hh)	10910359	10.1038/35018085	The segment polarity network is a robust developmental module	von Dassow G, Meir E, Munro EM, Odell GM	2000		"von Dassow G, Meir E, Munro EM, Odell GM. ""The segment polarity network is a robust developmental module"". Nature. 2000. PubMed: 10910359. doi:10.1038/35018085"
ecoli_amino_acid_biosynthesis	Amino Acid Biosynthesis Pathways	354503	10.1146/annurev.bi.47.070178.002203	Biosynthesis of amino acids	Umbarger HE	1978		"Umbarger HE. ""Biosynthesis of amino acids"". Annu Rev Biochem. 1978. PubMed: 354503. doi:10.1146/annurev.bi.47.070178.002203"
ecoli_anaerobic_respiration	Anaerobic Respiration Regulation (ArcAB and FNR)	9381172	10.1126/science.277.5334.2099	FNR is a direct oxygen sensor having a [4Fe-4S] cluster	Khoroshilova N, Popescu C, Münck E, Beinert H, Kiley PJ	1997		"Khoroshilova N, Popescu C, Münck E, Beinert H, Kiley PJ. ""FNR is a direct oxygen sensor having a [4Fe-4S] cluster"". Science. 1997. PubMed: 9381172. doi:10.1126/science.277.5334.2099"
ecoli_anaerobic_respiration	Anaerobic Respiration Regulation (ArcAB and FNR)	8631678	10.1128/jb.178.11.3391-3393.1996	Anaerobic regulation of the adhE gene, encoding the fermentative alcohol dehydrogenase of Escherichia coli	Leonardo MR, Dailly Y, Clark DP	1996		"Leonardo MR, Dailly Y, Clark DP. ""Anaerobic regulation of the adhE gene, encoding the fermentative alcohol dehydrogenase of Escherichia coli"". J Bacteriol. 1996. PubMed: 8631678. doi:10.1128/jb.178.11.3391-3393.1996"
ecoli_anaerobic_respiration	Anaerobic Respiration Regulation (ArcAB and FNR)	3054468	10.1128/mr.52.4.452-469.1988	The ArcA two-component signal transduction system regulates Escherichia coli metabolism during anaerobic growth	Iuchi S, Lin EC	1988		"Iuchi S, Lin EC. ""The ArcA two-component signal transduction system regulates Escherichia coli metabolism during anaerobic growth"". Microbiol Rev. 1988. PubMed: 3054468. doi:10.1128/mr.52.4.452-469.1988"
ecoli_anaerobic_respiration	Anaerobic Respiration Regulation (ArcAB and FNR)	11422357	10.1046/j.1365-2958.2001.02462.x	Redox sensing by the ArcB sensor kinase of Escherichia coli: quinone as a direct redox signal	Georgellis D, Kwon O, Lin EC	2001		"Georgellis D, Kwon O, Lin EC. ""Redox sensing by the ArcB sensor kinase of Escherichia coli: quinone as a direct redox signal"". Mol Microbiol. 2001. PubMed: 11422357. doi:10.1046/j.1365-2958.2001.02462.x"
ecoli_antibiotic_efflux_pumps	Antibiotic Efflux Pumps	38638826	10.3389/fcimb.2024.1387497	A review of the mechanisms that confer antibiotic resistance in pathotypes of E. coli.	Nasrollahian S	2024		"Nasrollahian S. ""A review of the mechanisms that confer antibiotic resistance in pathotypes of E. coli."". Frontiers in cellular and infection microbiology. 2024. PubMed: 38638826. doi:10.3389/fcimb.2024.1387497"
ecoli_antibiotic_efflux_pumps	Antibiotic Efflux Pumps	31235960	10.1038/s41564-019-0496-4	Plasmid-encoded tet(X) genes that confer high-level tigecycline resistance in Escherichia coli.	Sun J	2019		"Sun J. ""Plasmid-encoded tet(X) genes that confer high-level tigecycline resistance in Escherichia coli."". Nature microbiology. 2019. PubMed: 31235960. doi:10.1038/s41564-019-0496-4"
ecoli_antibiotic_efflux_pumps	Antibiotic Efflux Pumps	32127452	10.1128/mBio.02930-19	Emergence of a Plasmid-Encoded Resistance-Nodulation-Division Efflux Pump Conferring Resistance to Multiple Drugs, Including Tigecycline, in Klebsiella pneumoniae.	Lv L	2020		"Lv L. ""Emergence of a Plasmid-Encoded Resistance-Nodulation-Division Efflux Pump Conferring Resistance to Multiple Drugs, Including Tigecycline, in Klebsiella pneumoniae."". mBio. 2020. PubMed: 32127452. doi:10.1128/mBio.02930-19"
ecoli_antibiotic_efflux_pumps	Antibiotic Efflux Pumps	35294769	10.1007/s40265-022-01688-1	Sulopenem: An Intravenous and Oral Penem for the Treatment of Urinary Tract Infections Due to Multidrug-Resistant Bacteria.	Zhanel GG	2022		"Zhanel GG. ""Sulopenem: An Intravenous and Oral Penem for the Treatment of Urinary Tract Infections Due to Multidrug-Resistant Bacteria."". Drugs. 2022. PubMed: 35294769. doi:10.1007/s40265-022-01688-1"
ecoli_ara_operon	Arabinose Operon and AraC Dual Regulation	10899998	10.1073/pnas.97.14.7643	Positive and negative control of the arabinose operon	Schleif R	2000		"Schleif R. ""Positive and negative control of the arabinose operon"". Proceedings of the National Academy of Sciences. 2000. PubMed: 10899998. doi:10.1073/pnas.97.14.7643"
ecoli_ara_operon	Arabinose Operon and AraC Dual Regulation	1497310	10.1146/annurev.bi.61.070192.001215	DNA looping	Schleif R	1992		"Schleif R. ""DNA looping"". Annual Review of Biochemistry. 1992. PubMed: 1497310. doi:10.1146/annurev.bi.61.070192.001215"
ecoli_ara_operon	Arabinose Operon and AraC Dual Regulation	8395888	10.1016/0167-4781(93)90196-9	AraC protein: a love-hate relationship with DNA	Bustos SA, Schleif RF	1993		"Bustos SA, Schleif RF. ""AraC protein: a love-hate relationship with DNA"". Biochimica et Biophysica Acta. 1993. PubMed: 8395888. doi:10.1016/0167-4781(93)90196-9"
ecoli_ara_operon	Arabinose Operon and AraC Dual Regulation	4613164	10.1146/annurev.ge.08.120174.001251	Regulation of the L-arabinose operon of Escherichia coli	Englesberg E, Wilcox G	1974		"Englesberg E, Wilcox G. ""Regulation of the L-arabinose operon of Escherichia coli"". Annual Review of Genetics. 1974. PubMed: 4613164. doi:10.1146/annurev.ge.08.120174.001251"
ecoli_arginine_biosynthesis	Arginine Biosynthesis and Regulation	3534538		Biosynthesis and metabolism of arginine in bacteria	Cunin R, Glansdorff N, Piérard A, Stalon V	1986		"Cunin R, Glansdorff N, Piérard A, Stalon V. ""Biosynthesis and metabolism of arginine in bacteria"". Microbiological Reviews. 1986. PubMed: 3534538"
ecoli_arginine_biosynthesis	Arginine Biosynthesis and Regulation	7854251	10.1128/mr.58.4.631-640.1994	The arginine repressor of Escherichia coli	Maas WK	1994		"Maas WK. ""The arginine repressor of Escherichia coli"". Microbiological Reviews. 1994. PubMed: 7854251. doi:10.1128/mr.58.4.631-640.1994"
ecoli_arginine_biosynthesis	Arginine Biosynthesis and Regulation	1640456	10.1016/0022-2836(92)90952-i	Arginine regulon of Escherichia coli K-12. A study of repressor-operator interactions and of in vitro binding affinities versus in vivo repression	Charlier D, Roovers M, Van Vliet F, Boyen A, Cunin R, Nakamura Y, Glansdorff N, Piérard A	1992		"Charlier D, Roovers M, Van Vliet F, Boyen A, Cunin R, Nakamura Y, Glansdorff N, Piérard A. ""Arginine regulon of Escherichia coli K-12. A study of repressor-operator interactions and of in vitro binding affinities versus in vivo repression"". Journal of Molecular Biology. 1992. PubMed: 1640456. doi:10.1016/0022-2836(92)90952-i"
ecoli_arginine_biosynthesis	Arginine Biosynthesis and Regulation	17074904	10.1099/mic.0.29088-0	The arginine regulon of Escherichia coli: whole-system transcriptome analysis discovers new genes and provides an integrated view of arginine regulation	Caldara M, Charlier D, Cunin R	2006		"Caldara M, Charlier D, Cunin R. ""The arginine regulon of Escherichia coli: whole-system transcriptome analysis discovers new genes and provides an integrated view of arginine regulation"". Microbiology. 2006. PubMed: 17074904. doi:10.1099/mic.0.29088-0"
ecoli_base_excision_repair	Base Excision Repair (BER)	17581577	10.1038/nature05978	Base excision repair of oxidative DNA damage	David SS, O'Shea VL, Kundu S	2007		"David SS, O'Shea VL, Kundu S. ""Base excision repair of oxidative DNA damage"". Nature. 2007. PubMed: 17581577. doi:10.1038/nature05978"
ecoli_base_excision_repair	Base Excision Repair (BER)	1411536	10.1126/science.1411536	Escherichia coli endonuclease III: location of the iron-sulfur cluster in the three-dimensional structure	Kuo CF, McRee DE, Fisher CL, et al	1992		"Kuo CF, McRee DE, Fisher CL, et al. ""Escherichia coli endonuclease III: location of the iron-sulfur cluster in the three-dimensional structure"". Science. 1992. PubMed: 1411536. doi:10.1126/science.1411536"
ecoli_base_excision_repair	Base Excision Repair (BER)	10410796	10.1146/annurev.biophys.28.1.101	Base excision repair: contributions from atomic resolution structures	Mol CD, Parikh SS, Putnam CD, Lo TP, Tainer JA	1999		"Mol CD, Parikh SS, Putnam CD, Lo TP, Tainer JA. ""Base excision repair: contributions from atomic resolution structures"". Annual Review of Biophysics and Biomolecular Structure. 1999. PubMed: 10410796. doi:10.1146/annurev.biophys.28.1.101"
ecoli_base_excision_repair	Base Excision Repair (BER)			Bacterial DNA repair	Friedberg EC, Walker GC, Siede W	2006		"Friedberg EC, Walker GC, Siede W. ""Bacterial DNA repair"". ASM Press. 2006"
ecoli_biofilm_formation	E. coli Biofilm Formation	26517598		Bacterial resistance in biofilm-associated bacteria	Jamal M	2015		"Jamal M. ""Bacterial resistance in biofilm-associated bacteria"". Journal of the Chinese Medical Association : JCMA. 2015. PubMed: 26517598"
ecoli_biofilm_formation	E. coli Biofilm Formation	15640219		Biofilm formation and cellulose expression among diverse environmental Escherichia coli isolates	Bokranz W	2005		"Bokranz W. ""Biofilm formation and cellulose expression among diverse environmental Escherichia coli isolates"". Applied and environmental microbiology. 2005. PubMed: 15640219"
ecoli_biofilm_formation	E. coli Biofilm Formation	16704339		Curli biogenesis and function	Barnhart MM	2006		"Barnhart MM. ""Curli biogenesis and function"". Annual review of microbiology. 2006. PubMed: 16704339"
ecoli_biofilm_formation	E. coli Biofilm Formation	36864250		The biofilm matrix: multitasking in a shared space	Flemming HC	2023		"Flemming HC. ""The biofilm matrix: multitasking in a shared space"". Nature reviews. Microbiology. 2023. PubMed: 36864250"
ecoli_catabolite_repression	Catabolite Repression and Global Carbon Control	4871331	10.1016/0006-291X(68)90532-6	Catabolite repression and the lac operon	Ullmann A, Monod J	1968		"Ullmann A, Monod J. ""Catabolite repression and the lac operon"". Biochemical and Biophysical Research Communications. 1968. PubMed: 4871331. doi:10.1016/0006-291X(68)90532-6"
ecoli_catabolite_repression	Catabolite Repression and Global Carbon Control	10367881	10.1016/S0092-8674(00)80764-5	DNA binding and bending are necessary but not sufficient for CRP-dependent transcription activation	Busby S, Ebright RH	1999		"Busby S, Ebright RH. ""DNA binding and bending are necessary but not sufficient for CRP-dependent transcription activation"". Cell. 1999. PubMed: 10367881. doi:10.1016/S0092-8674(00)80764-5"
ecoli_catabolite_repression	Catabolite Repression and Global Carbon Control	18626614	10.1007/s00203-008-0429-6	Regulation of bacterial metabolism by catabolite repression	Görke B, Stülke J	2008		"Görke B, Stülke J. ""Regulation of bacterial metabolism by catabolite repression"". Archives of Microbiology. 2008. PubMed: 18626614. doi:10.1007/s00203-008-0429-6"
ecoli_catabolite_repression	Catabolite Repression and Global Carbon Control	8341589	10.1093/nar/21.14.3171	The CRP/CAP regulon	Kolb A, Busby S, Buc H, Garges S, Adhya S	1993		"Kolb A, Busby S, Buc H, Garges S, Adhya S. ""The CRP/CAP regulon"". Nucleic Acids Research. 1993. PubMed: 8341589. doi:10.1093/nar/21.14.3171"
ecoli_cell_division	Cell Division and FtsZ Ring Assembly	20676094	10.1038/nsmb.1891	FtsZ filament structure reveals the structural basis for assembly dynamics and constriction force generation	Erickson HP, Anderson DE, Osawa M	2010		"Erickson HP, Anderson DE, Osawa M. ""FtsZ filament structure reveals the structural basis for assembly dynamics and constriction force generation"". Nat Struct Mol Biol. 2010. PubMed: 20676094. doi:10.1038/nsmb.1891"
ecoli_cell_division	Cell Division and FtsZ Ring Assembly	25741323	10.3389/fmicb.2015.00478	The Min system and other nucleoid-independent regulators of Z ring positioning	Rowlett VW, Margolin W	2015		"Rowlett VW, Margolin W. ""The Min system and other nucleoid-independent regulators of Z ring positioning"". Front Microbiol. 2015. PubMed: 25741323. doi:10.3389/fmicb.2015.00478"
ecoli_cell_division	Cell Division and FtsZ Ring Assembly	18322039	10.1128/MMBR.00014-07	Divisome assembly in Escherichia coli: a molecular perspective	den Blaauwen T, de Pedro MA, Nguyen-Distèche M, Ayala JA	2008		"den Blaauwen T, de Pedro MA, Nguyen-Distèche M, Ayala JA. ""Divisome assembly in Escherichia coli: a molecular perspective"". Microbiol Mol Biol Rev. 2008. PubMed: 18322039. doi:10.1128/MMBR.00014-07"
ecoli_cell_division	Cell Division and FtsZ Ring Assembly	26840489	10.1038/nature16966	SEDS proteins are a widespread family of bacterial cell wall polymerases	Meeske AJ, Riley EP, Robins WP, Uehara T, Mekalanos JJ, Kahne D, Walker S, Kruse AC, Bernhardt TG, Rudner DZ	2016		"Meeske AJ, Riley EP, Robins WP, Uehara T, Mekalanos JJ, Kahne D, Walker S, Kruse AC, Bernhardt TG, Rudner DZ. ""SEDS proteins are a widespread family of bacterial cell wall polymerases"". Nature. 2016. PubMed: 26840489. doi:10.1038/nature16966"
ecoli_chemotaxis	E. coli Chemotaxis	4628819		Chemotaxis in Escherichia coli analyzed by three-dimensional tracking	Berg HC	1972		"Berg HC. ""Chemotaxis in Escherichia coli analyzed by three-dimensional tracking"". Nature. 1972. PubMed: 4628819"
ecoli_chemotaxis	E. coli Chemotaxis	9442869		The two-component signaling pathway of bacterial chemotaxis: a molecular view of signal transduction by receptors, kinases, and adaptation enzymes	Falke JJ	1997		"Falke JJ. ""The two-component signaling pathway of bacterial chemotaxis: a molecular view of signal transduction by receptors, kinases, and adaptation enzymes"". Annual review of cell and developmental biology. 1997. PubMed: 9442869"
ecoli_chemotaxis	E. coli Chemotaxis	15242626		Chemotaxis	Sourjik V	2004		"Sourjik V. ""Chemotaxis"". Current biology : CB. 2004. PubMed: 15242626"
ecoli_chemotaxis	E. coli Chemotaxis	12379844		Receptor sensitivity in bacterial chemotaxis	Sourjik V	2002		"Sourjik V. ""Receptor sensitivity in bacterial chemotaxis"". Proceedings of the National Academy of Sciences of the United States of America. 2002. PubMed: 12379844"
ecoli_cold_shock_response	Cold Shock Response	37333716	10.1007/s13205-023-03656-2	An in-silico study to understand the effect of lineage diversity on cold shock response: unveiling protein-RNA interactions among paralogous CSPs of E. coli.	Roy A	2023		"Roy A. ""An in-silico study to understand the effect of lineage diversity on cold shock response: unveiling protein-RNA interactions among paralogous CSPs of E. coli."". 3 Biotech. 2023. PubMed: 37333716. doi:10.1007/s13205-023-03656-2"
ecoli_cold_shock_response	Cold Shock Response	34283283	10.1007/s00284-021-02613-7	C Group-Mediated Antibiotic Stress Mimics the Cold Shock Response.	Cardoza E	2021		"Cardoza E. ""C Group-Mediated Antibiotic Stress Mimics the Cold Shock Response."". Current microbiology. 2021. PubMed: 34283283. doi:10.1007/s00284-021-02613-7"
ecoli_cold_shock_response	Cold Shock Response	35920318	10.1093/nar/gkac643	Alteration of DNA supercoiling serves as a trigger of short-term cold shock repressed genes of E. coli.	Dash S	2022		"Dash S. ""Alteration of DNA supercoiling serves as a trigger of short-term cold shock repressed genes of E. coli."". Nucleic acids research. 2022. PubMed: 35920318. doi:10.1093/nar/gkac643"
ecoli_cold_shock_response	Cold Shock Response	8850997		The cold-shock response in bacteria.	Wolffe AP	1995		"Wolffe AP. ""The cold-shock response in bacteria."". Science progress. 1995. PubMed: 8850997"
ecoli_dna_damage_checkpoint	DNA Damage Checkpoint and Cell Cycle Arrest	11034250	10.1038/35039580	The SOS regulatory system of Escherichia coli	Fernández De Henestrosa AR, Ogi T, Aoyagi S, Chafin D, Hayes JJ, Ohmori H, Woodgate R	2000		"Fernández De Henestrosa AR, Ogi T, Aoyagi S, Chafin D, Hayes JJ, Ohmori H, Woodgate R. ""The SOS regulatory system of Escherichia coli"". Nat Rev Microbiol. 2000. PubMed: 11034250. doi:10.1038/35039580"
ecoli_dna_damage_checkpoint	DNA Damage Checkpoint and Cell Cycle Arrest	6449016	10.1073/pnas.77.6.3225	RecA protein binds to and promotes the degradation of LexA repressor	Little JW, Edmiston SH, Pacelli LZ, Mount DW	1980		"Little JW, Edmiston SH, Pacelli LZ, Mount DW. ""RecA protein binds to and promotes the degradation of LexA repressor"". Proc Natl Acad Sci USA. 1980. PubMed: 6449016. doi:10.1073/pnas.77.6.3225"
ecoli_dna_damage_checkpoint	DNA Damage Checkpoint and Cell Cycle Arrest	19943906	10.1111/j.1365-2958.2009.06962.x	RecN protein and transcription factor DksA combine to promote faithful recombinational repair of DNA double-strand breaks	Keyamura K, Arai K, Hishida T	2009		"Keyamura K, Arai K, Hishida T. ""RecN protein and transcription factor DksA combine to promote faithful recombinational repair of DNA double-strand breaks"". Mol Microbiol. 2009. PubMed: 19943906. doi:10.1111/j.1365-2958.2009.06962.x"
ecoli_dna_damage_checkpoint	DNA Damage Checkpoint and Cell Cycle Arrest	14596622	10.1021/bi034729a	SulA inhibits assembly of FtsZ by a simple sequestration mechanism	Cordell SC, Robinson EJ, Löwe J	2003		"Cordell SC, Robinson EJ, Löwe J. ""SulA inhibits assembly of FtsZ by a simple sequestration mechanism"". Biochemistry. 2003. PubMed: 14596622. doi:10.1021/bi034729a"
ecoli_dna_replication_elongation	DNA Replication Elongation	24267450	10.1016/j.molcel.2013.10.020	The bacterial replisome: back on track?	Robinson A, van Oijen AM	2013		"Robinson A, van Oijen AM. ""The bacterial replisome: back on track?"". Molecular Cell. 2013. PubMed: 24267450. doi:10.1016/j.molcel.2013.10.020"
ecoli_dna_replication_elongation	DNA Replication Elongation	21930698	10.1074/jbc.R111.259473	The Escherichia coli DNA polymerase III holoenzyme	McHenry CS	2011		"McHenry CS. ""The Escherichia coli DNA polymerase III holoenzyme"". Journal of Biological Chemistry. 2011. PubMed: 21930698. doi:10.1074/jbc.R111.259473"
ecoli_dna_replication_elongation	DNA Replication Elongation	15952889	10.1146/annurev.biochem.73.011303.073859	Structure and mechanism of the DNA polymerase III holoenzyme from E. coli	Johnson A, O'Donnell M	2005		"Johnson A, O'Donnell M. ""Structure and mechanism of the DNA polymerase III holoenzyme from E. coli"". Annual Review of Biochemistry. 2005. PubMed: 15952889. doi:10.1146/annurev.biochem.73.011303.073859"
ecoli_dna_replication_elongation	DNA Replication Elongation	36240765	10.1016/j.cell.2022.09.030	The replisome guides nucleosome assembly during DNA replication	Sauer PV, Corbeski I, Lu Y, et al	2022		"Sauer PV, Corbeski I, Lu Y, et al. ""The replisome guides nucleosome assembly during DNA replication"". Cell. 2022. PubMed: 36240765. doi:10.1016/j.cell.2022.09.030"
