pmid	doi	title	authors	year	chart_ids
11323133	10.1016/s0092-8674(01)00531-2	Hydrogen peroxide sensor and redox regulator OxyR: activation mechanism and sensing of H2O2	Choi H, Kim S, Mukhopadhyay P, Cho S, Woo J, Storz G, Ryu SE	2001	ecoli_oxidative_stress_response
11350942	10.1093/emboj/20.10.2528	Positive feedback in eukaryotic gene networks: cell differentiation by graded to binary response conversion	Becskei A, Séraphin B, Serrano L	2001	synthetic_positive_autoregulation
11395419	10.1146/annurev.biochem.70.1.703	The pheromone response pathway in Saccharomyces cerevisiae	Dohlman HG, Thorner JW	2001	yeast_mapk_mating
11408658	10.1126/science.1058758	Ordering genes in a flagella pathway by analysis of expression kinetics from living bacteria	Kalir S, McClure J, Pabbaraju K, et al.	2001	ecoli_flhdc_flagellar
11413485	10.1038/35036035	The versatility and universality of calcium signalling	Berridge MJ, Lipp P, Bootman MD	2000	human_calcium_oscillator
11422357	10.1046/j.1365-2958.2001.02462.x	Redox sensing by the ArcB sensor kinase of Escherichia coli: quinone as a direct redox signal	Georgellis D, Kwon O, Lin EC	2001	ecoli_anaerobic_respiration
11423924	10.1126/science.1060612	Initial selection of aminoacyl-tRNA by the ribosome	Ogle JM, Brodersen DE, Clemons WM Jr, Tarry MJ, Carter AP, Ramakrishnan V	2001	ecoli_translation_elongation
11452122	10.1126/science.1062524	Pheromone signaling mechanisms in yeast: a prototypical sex machine	Dohlman HG	2001	yeast_mating_response
11687502		Peroxisome biogenesis.	Purdue PE	2001	yeast_yeast_peroxisome_biogenesis
11700594	10.1002/9780470123028.ch2	Tryptophan biosynthesis	Yanofsky C	2001	ecoli_tryptophan_biosynthesis
11739403	10.1101/gad.903401	IRE1-mediated unconventional mRNA splicing and S2P-mediated ATF6 cleavage merge to regulate XBP1 in signaling the unfolded protein response	Yoshida H	2001	yeast_unfolded_protein_response
11741871	10.1128/jb.183.3.1003-1012.2001	The periplasmic folding factor CpxP modulates the Cpx response	Raivio TL, Silhavy TJ	2001	ecoli_periplasmic_stress
11969206	10.1006/bbrc.2001.2022	Forty years of bacterial fatty acid synthesis	Rock CO, Jackowski S	2002	ecoli_fatty_acid_synthesis
12065764	10.1046/j.1365-2958.2002.03031.x	The RpoS sigma factor of Escherichia coli: synthesis and degradation	Hengge-Aronis R	2002	ecoli_starvation_response
12068798	10.1046/j.1365-2958.2002.02962.x	FtsK, a literate chromosome segregation machine	Aussel L, et al	2002	ecoli_dna_replication_termination
12127453	10.1016/s0959-440x(02)00344-x	Structural insights into the role of rRNA modifications in protein synthesis and ribosome assembly	Decatur WA, Fournier MJ	2002	ecoli_translation_termination
12150915	10.1016/s1097-2765(02)00636-6	Two TOR complexes, only one of which is rapamycin sensitive, have distinct roles in cell growth control	Loewith R, Jacinto E, Wullschleger S, Lorberg A, Crespo JL, Bonenfant D, Oppliger W, Jenoe P, Hall MN	2002	yeast_tor_signaling
12169625	10.1093/emboj/cdf389	Sigma factor selectivity in Escherichia coli: role for CRP, IHF and Lrp transcription factors	Jishage M, Kvint K, Shingler V, Nyström T	2002	ecoli_sigma_factor_competition
12177300	10.1073/pnas.152433099	Transcription termination factor Rho is an RNA-DNA helicase associated with Rho-dependent terminators	Richardson JP	2002	ecoli_transcription_termination
12191620	10.1016/s0163-7258(02)00198-5	Two-component signal transduction as a target for microbial anti-infective therapy	Stephenson K, Hoch JA	2002	ecoli_pho_regulon
12198538	10.1038/nature00965	Coordination of circadian timing in mammals	Reppert SM, Weaver DR	2002	human_circadian_clock
12379844		Receptor sensitivity in bacterial chemotaxis	Sourjik V	2002	ecoli_chemotaxis
12399594	10.1126/science.1074560	Oscillatory expression of the bHLH factor Hes1 regulated by a negative feedback loop	Hirata H, Yoshiura S, Ohtsuka T, et al.	2002	human_hes1_oscillator
12417193	10.1016/s0022-2836(02)00994-4	Negative autoregulation speeds the response times of transcription networks	Rosenfeld N, Elowitz MB, Alon U	2002	synthetic_negative_autoregulation
12424381	10.1126/science.1071914	The IκB-NF-κB signaling module: temporal control and selective gene activation	Hoffmann A, Levchenko A, Scott ML, Baltimore D	2002	human_nfkb_ikb_oscillator
12453205	10.1046/j.1365-2958.2002.03267.x	DNA binding and phosphorylation-dependent dimerization of the response regulator OmpR	Kenney LJ	2002	ecoli_two_component_signaling
12493358	10.1016/s0378-1119(02)00948-4	Nitrogen catabolite repression in Saccharomyces cerevisiae	Magasanik B, Kaiser CA	2002	yeast_tor_signaling
12493770	10.1111/j.1574-6976.2002.tb00614.x	Nitrogen catabolite repression in yeast	Cooper TG	2002	yeast_nitrogen_metabolism
12509509	10.1073/pnas.0235349100	Hysteresis drives cell-cycle transitions in Xenopus laevis egg extracts	Sha W, Moore J, Chen K, Lassaletta AD, Yi CS, Tyson JJ, Sible JC	2003	human_cdk1_mitotic_switch
12511870	10.1038/nrm1012	Bacterial transcription regulation and sigma factor competition	Gruber TM, Gross CA	2003	ecoli_transcription_regulation
12540296	10.1186/gb-2003-4-1-203	Sigma factors in bacterial transcription	Paget MS, Helmann JD	2003	ecoli_transcription_regulation
12576575	10.1099/mic.0.26003-0	Controlling competence in Bacillus subtilis: shared use of regulators	Hamoen LW, Venema G, Kuipers OP	2003	bacillus_competence_development
12581362	10.1046/j.1365-2958.2003.03255.x	ppGpp-dependent stationary phase induction of genes on Escherichia coli	Kvint K, Nachin L, Diez A, Nyström T	2003	ecoli_starvation_response
12629549	10.1038/ncb954	Building a cell cycle oscillator: hysteresis and bistability in the activation of Cdc2	Pomerening JR, Sontag ED, Ferrell JE	2003	human_cdk1_mitotic_switch
12667446	10.1016/s1097-2765(03)00105-9	An integrated stress response regulates amino acid metabolism and resistance to oxidative stress	Harding HP, Zhang Y, Zeng H, et al.	2003	human_perk_atf4_isr
12676795	10.1146/annurev.biochem.72.121801.161547	Silencing in yeast	Rusche LN, Kirchmaier AL, Rine J	2003	yeast_chromatin_silencing
12682013	10.1093/emboj/cdg239	The CusABC efflux system removes toxic ions via a methionine shuttle	Franke S, Grass G, Rensing C, Nies DH	2003	ecoli_heavy_metal_resistance
12700015		The LexA transcriptional repressor	Little JW	2003	ecoli_sos_response
12702273		Novel insights into the osmotic stress response of yeast.	Mager WH	2002	yeast_osmotic_stress_response
12722949	10.1016/s0074-7696(05)24004-4	Transcriptional regulation of meiosis in budding yeast	Kassir Y, Adir N, Boger-Nadjar E, Raviv NG, Rubin-Bejerano I, Sagee S, Shenhar G	2003	yeast_meiosis_regulation
12730325	10.1146/annurev.micro.57.030502.090832	How bacteria assemble flagella	Macnab RM	2003	ecoli_flagellar_assembly
	10.1242/jcs.00460	Signal pathway integration in the switch from the mitotic cell cycle to meiosis in yeast	Honigberg SM, Purnapatre K	2003	yeast_meiosis_regulation
12746439		Global iron-dependent gene regulation in Escherichia coli. A new mechanism for iron homeostasis.	McHugh JP	2003	ecoli_iron_homeostasis
12787347	10.1046/j.1365-2958.2003.03512.x	The alternative sigma factor network in Escherichia coli	Gruber TM, Gross CA	2003	ecoli_sigma_factor_competition
12787501	10.1016/s0092-8674(03)00346-5	Development of genetic circuitry exhibiting toggle switch or oscillatory behavior in Escherichia coli	Atkinson MR, Savageau MA, Myers JT, Ninfa AJ	2003	synthetic_atkinson_oscillator
12829269		Bacterial iron homeostasis.	Andrews SC	2003	ecoli_iron_homeostasis
12887920	10.1016/s0092-8674(03)00521-x	Induction of TNF receptor I-mediated apoptosis via two sequential signaling complexes	Micheau O, Tschopp J	2003	human_tnf_survival_death_decision
1339300	10.1016/0092-8674(92)90590-4	Transcript cleavage factors from E. coli	Borukhov S, Polyakov A, Nikiforov V, Goldfarb A	1992	ecoli_transcription_elongation
13718526	10.1016/s0022-2836(61)80072-7	Genetic regulatory mechanisms in the synthesis of proteins	Jacob F, Monod J	1961	ecoli_lac_operon
1410045	10.1016/s0079-6603(08)60364-4	Nucleotide metabolism	Zalkin H, Dixon JE	1992	ecoli_nucleotide_biosynthesis
1411536	10.1126/science.1411536	Escherichia coli endonuclease III: location of the iron-sulfur cluster in the three-dimensional structure	Kuo CF, McRee DE, Fisher CL, et al	1992	ecoli_base_excision_repair
1441741	10.1002/yea.320080502	Pre-mRNA splicing in yeast	Rymond BC, Rosbash M	1992	yeast_rna_splicing
14505815	10.1016/s0300-9084(03)00143-4	Assembly of the 30S ribosomal subunit	Culver GM	2003	ecoli_ribosome_assembly
14530388	10.1073/pnas.2133841100	Structure and function of the feed-forward loop network motif	Mangan S, Alon U	2003	synthetic_coherent_ffl;synthetic_incoherent_ffl
14596622	10.1021/bi034729a	SulA inhibits assembly of FtsZ by a simple sequestration mechanism	Cordell SC, Robinson EJ, Löwe J	2003	ecoli_dna_damage_checkpoint
14607112	10.1016/j.jmb.2003.09.049	The coherent feedforward loop serves as a sign-sensitive delay element in transcription networks	Mangan S, Zaslaver A, Alon U	2003	synthetic_coherent_ffl
14608371	10.1038/nature02129	Structure of Escherichia coli transcription termination factor rho bound to an RNA substrate	Skordalakes E, Berger JM	2003	ecoli_transcription_termination
14685241	10.1038/nature02189	A self-organizing system of repressor gradients establishes segmental complexity in Drosophila	Clyde DE, Corado MSG, Wu X, et al.	2003	drosophila_gap_gene_network
14729975	10.1128/mcb.24.3.1234-1247.2004	C/EBPα is required for the development of granulocytes and macrophages	Zhang DE, Hetherington CJ, Chen HM, Tenen DG	2004	human_cebpa_myeloid_commitment
14730303	10.1038/ng1293	Dynamics of the p53-Mdm2 feedback loop in individual cells	Lahav G, Rosenfeld N, Sigal A, Geva-Zatorsky N, Levine AJ, Elowitz MB, Alon U	2004	human_p53_mdm2;mouse_p53_mdm2_oscillator
1497310	10.1146/annurev.bi.61.070192.001215	DNA looping	Schleif R	1992	ecoli_ara_operon
15032587	10.1146/annurev.immunol.22.091003.090312	The role of suppressors of cytokine signalling (SOCS) proteins in regulation of the immune response	Alexander WS, Hilton DJ	2004	human_jak_stat_socs
15035009	10.1038/nrmicro787	Mechanism of transcription initiation from an activator-dependent promoter	Browning DF, Busby SJ	2004	ecoli_transcription_regulation
15040261	10.1038/nrmicro884	Acid resistance in E. coli	Foster JW	2004	ecoli_e._coli_acid_resistance
15064770	10.1038/nature02491	Programmed population control by cell-cell communication and regulated killing	You L, Cox RS 3rd, Weiss R, Arnold FH	2004	synthetic_population_control
15083159	10.1038/nrmicro844	DNA uptake during bacterial transformation	Chen I, Dubnau D	2004	bacillus_competence_development
15096621	10.1073/pnas.0307571101	Spatiotemporal control of gene expression with pulse-generating networks	Basu S, Mehreja R, Thiberge S, Chen MT, Weiss R	2004	synthetic_incoherent_ffl
15109499	10.1016/s0092-8674(04)00251-1	Mechanisms of vesicle formation and trafficking	Bonifacino JS, Glick BS	2004	yeast_vesicle_trafficking
15187183	10.1128/mmbr.68.2.234-262.2004	Compartmentalization of gene expression during Bacillus subtilis spore formation	Hilbert DW, Piggot PJ	2004	bacillus_spo0a_sporulation
15242626		Chemotaxis	Sourjik V	2004	ecoli_chemotaxis
15249583	10.1083/jcb.200403069	The TSC1-2 tumor suppressor controls insulin-PI3K signaling via regulation of IRS proteins	Harrington LS, Findlay GM, Gray A, et al.	2004	human_mtorc1_nutrient
15276710	10.1016/j.tips.2004.06.006	Historical review: a brief history and personal retrospective of seven-transmembrane receptors	Lefkowitz RJ	2004	human_camp_pka_desensitization
15300679	10.1002/yea.1134	The yeast pheromone response pathway: a paradigm for eukaryotic signal transduction	Bardwell L	2004	yeast_mating_response
15479073	10.1021/ja048634j	Genetic screens and selections for small molecules based on a synthetic riboswitch that activates protein translation	Desai SK, Gallivan JP	2004	synthetic_theophylline_riboswitch
15499023	10.1126/science.1099962	Oscillations in NF-κB signaling control the dynamics of gene expression	Nelson DE, Ihekwaba AE, Elliott M, et al.	2004	human_nfkb_ikb_oscillator
15640219		Biofilm formation and cellulose expression among diverse environmental Escherichia coli isolates	Bokranz W	2005	ecoli_biofilm_formation
15653074	10.1016/j.tcb.2004.11.007	Control of the eukaryotic cell cycle by MAP kinase signaling pathways	Qi M, Elion EA	2005	yeast_cell_cycle_control
15659673	10.1128/jb.187.4.1124-1133.2005	Fatty acid degradation in Escherichia coli	Clark DP, Cronan JE	2005	ecoli_fatty_acid_degradation
15677467	10.1074/jbc.r400025200	Translational control by the eIF2α kinase GCN2	Hinnebusch AG	2005	yeast_gcn4_starvation
15686551	10.1111/j.1365-2958.2005.04473.x	The Tus-Ter replication fork barrier of Escherichia coli: A signpost for chromosome segregation?	Neylon C, et al	2005	ecoli_dna_replication_termination
15755955	10.1128/mmbr.69.1.101-123.2005	Initiation of translation in bacteria	Laursen BS, Sørensen HP, Mortensen KK, Sperling-Petersen HU	2005	ecoli_translation_initiation
15770419	10.1007/s00018-004-4464-6	The molecular chaperone DnaK and its co-chaperones	Mayer MP, Bukau B	2005	ecoli_heat_shock_response
15800576	10.1038/nature03464	IRF-7 is the master regulator of type-I interferon-dependent immune responses	Honda K, Yanai H, Negishi H, et al.	2005	human_irf7_interferon_amplifier
15802245	10.1016/j.mib.2005.02.010	Regulation of the trp operon	Merino E, Yanofsky C	2005	ecoli_trp_operon
15802258	10.1016/j.mib.2005.02.011	The Ntr signal transduction system	Ninfa AJ, Jiang P	2005	ecoli_nitrogen_assimilation
15819619	10.1111/j.1365-2958.2005.04592.x	Bistability in the Bacillus subtilis K-state (competence) system requires a positive feedback loop	Maamar H, Dubnau D	2005	bacillus_comk_competence;bacillus_competence_development
15858574	10.1038/nature03461	A synthetic multicellular system for programmed pattern formation	Basu S, Gerchman Y, Collins CH, Arnold FH, Weiss R	2005	synthetic_band_detector;synthetic_sender_receiver_qs
15875027	10.1038/nature03508	A synthetic gene-metabolic oscillator	Fung E, Wong WW, Suen JK, Bulter T, Lee SG, Liao JC	2005	synthetic_metabolator
15889097	10.1038/nature03524	Enhancement of cellular memory by reducing stochastic transitions	Acar M, Becskei A, van Oudenaarden A	2005	yeast_gal_bistable_switch
15931169	10.1038/nrg1616	Prions as adaptive conduits of memory and inheritance	Shorter J, Lindquist S	2005	yeast_sup35_prion
15952889	10.1146/annurev.biochem.73.011303.073859	Structure and mechanism of the DNA polymerase III holoenzyme from E. coli	Johnson A, O'Donnell M	2005	ecoli_dna_replication_elongation
15952900	10.1146/annurev.biochem.74.082803.133243	Mismatch repair in replication fidelity, genetic recombination, and cancer biology	Kunkel TA, Erie DA	2005	ecoli_mismatch_repair
15952903	10.1146/annurev.biochem.74.082803.133524	The structural biology of type II fatty acid biosynthesis	White SW, Zheng J, Zhang YM, Rock CO	2005	ecoli_fatty_acid_synthesis
15978076	10.1111/j.1365-2958.2005.04703.x	ATP-dependent regulation of maltose transport in Escherichia coli	Dippel R, Boos W	2005	ecoli_mal_regulon
16003780	10.1002/bit.20632	The tricarboxylic acid cycle in Escherichia coli	Sauer U, Eikmanns BJ	2005	ecoli_tca_cycle
16125763	10.1016/j.cell.2005.08.012	Identification and characterization of MAVS, a mitochondrial antiviral signaling protein that activates NF-κB and IRF3	Seth RB, Sun L, Ea CK, Chen ZJ	2005	human_rig_i_mavs_antiviral
16153702	10.1016/j.cell.2005.08.020	Core transcriptional regulatory circuitry in human embryonic stem cells	Boyer LA, Lee TI, Cole MF, et al.	2005	human_oct4_sox2_nanog_pluripotency
16166384	10.1101/gad.1335705	Evidence that entry into sporulation in Bacillus subtilis is governed by a gradual increase in the level and activity of the master regulator Spo0A	Fujita M, Losick R	2005	bacillus_sporulation_initiation
16166565	10.1126/science.1112304	Achieving stability of lipopolysaccharide-induced NF-κB activation	Covert MW, Leung TH, Gaston JE, Baltimore D	2005	human_tlr4_lps_amplification
16269512	10.1126/stke.2872005pe14	NF-κB survival pathways and the inflammatory response	Werner SL, Barken D, Hoffmann A	2005	human_tlr4_lps_amplification
16285859		The SOS response: recent insights into umuDC-dependent mutagenesis and DNA damage tolerance	Friedberg EC	2005	ecoli_sos_response
16306980	10.1038/nature04405	Synthetic biology: engineering Escherichia coli to see light	Levskaya A, Chevalier AA, Tabor JJ, et al.	2005	synthetic_light_sensor
16330045	10.1016/j.jmb.2005.10.076	Environmentally controlled invasion of cancer cells by engineered bacteria	Anderson JC, Clarke EJ, Arkin AP, Voigt CA	2006	synthetic_phosphorelay_and
16339739	10.1128/mmbr.69.4.262-291.2005	The cell wall integrity pathway in yeast	Levin DE	2005	yeast_cell_wall_integrity
16376539	10.1016/j.sbi.2006.01.015	Mismatch repair proteins MutS and MutL: jack of all trades?	Jiricny J	2006	ecoli_mismatch_repair
1640456	10.1016/0022-2836(92)90952-i	Arginine regulon of Escherichia coli K-12. A study of repressor-operator interactions and of in vitro binding affinities versus in vivo repression	Charlier D, Roovers M, Van Vliet F, Boyen A, Cunin R, Nakamura Y, Glansdorff N, Piérard A	1992	ecoli_arginine_biosynthesis
16406775	10.1016/j.mib.2005.12.008	Envelope stress responses in Gram-negative bacteria	Rowley G, Spector M, Kormanec J, Roberts M	2006	ecoli_periplasmic_stress
16464004	10.1021/cr040471u	Nucleotide excision repair in E. coli	Truglio JJ, Croteau DL, Van Houten B, Kisker C	2006	ecoli_nucleotide_excision_repair
16531234	10.1016/j.str.2005.11.021	Revisiting the lac operon: Functional analysis of the cAMP receptor protein	Napoli AA, Lawson CL, Ebright RH, Berman HM	2006	ecoli_lac_operon
16532007	10.1038/nsmb1072	Structure of the UvrB-DNA complex	Truglio JJ, Karakas E, Rhau B, et al	2006	ecoli_nucleotide_excision_repair
16554821	10.1038/nature04588	An excitable gene regulatory circuit induces transient cellular differentiation	Süel GM, Garcia-Ojalvo J, Liberman LM, Elowitz MB	2006	bacillus_comk_competence
16630813	10.1016/j.cell.2006.03.034	Structural basis of transcription: role of the trigger loop in substrate specificity and catalysis	Wang D, Bushnell DA, Westover KD, Kaplan CD, Kornberg RD	2006	ecoli_transcription_elongation
16701695	10.1016/j.jmb.2006.03.064	Regulatory dynamics of synthetic gene networks with positive feedback	Maeda YT, Sano M	2006	synthetic_positive_autoregulation
16704339		Curli biogenesis and function	Barnhart MM	2006	ecoli_biofilm_formation
16773083	10.1038/msb4100068	Oscillations and variability in the p53 system	Geva-Zatorsky N, Rosenfeld N, Itzkovitz S, et al.	2006	mouse_p53_mdm2_oscillator
16879639	10.1111/j.1365-2958.2006.05249.x	Bistability in bacteria	Dubnau D, Losick R	2006	bacillus_competence_development
16896351	10.1038/nrm1973	Mechanisms and functions of the anaphase promoting complex/cyclosome	Peters JM	2006	yeast_cell_cycle_control
16978046	10.1371/journal.pcbi.0020120	Mathematical modeling identifies inhibitors of apoptosis as mediators of positive feedback and bistability	Legewie S, Blüthgen N, Herzel H	2006	human_apoptosis_caspase_switch
16978048	10.1371/journal.pcbi.0020123	Transcriptional dynamics of the embryonic stem cell switch	Chickarmane V, Troein C, Nuber UA, Sauro HM, Peterson C	2006	human_oct4_sox2_nanog_pluripotency
17013392	10.1038/ng1901	Genome-wide analysis of estrogen receptor binding sites	Carroll JS, Meyer CA, Song J, et al.	2006	human_estrogen_receptor_switch
17074904	10.1099/mic.0.29088-0	The arginine regulon of Escherichia coli: whole-system transcriptome analysis discovers new genes and provides an integrated view of arginine regulation	Caldara M, Charlier D, Cunin R	2006	ecoli_arginine_biosynthesis
1730745		Autophagy in yeast demonstrated with proteinase-deficient mutants and conditions for its induction	Takeshige K	1992	yeast_autophagy
17352659	10.1146/annurev.biochem.76.052705.163409	Mechanisms of mitochondrial protein import	Neupert W	2007	yeast_mitochondrial_import
17371510	10.1111/j.1574-6976.2007.00069.x	The path from nucleotides to ribosome assembly	Kaczanowska M, Rydén-Aulin M	2007	ecoli_ribosome_assembly
17412320	10.1016/j.ydbio.2007.02.036	Bifurcation dynamics in lineage-commitment in bipotent progenitor cells	Huang S, Guo YP, May G, Enver T	2007	human_gata1_pu1_switch;mouse_gata1_spi1_switch
17426725	10.1038/nrm2163	The spindle assembly checkpoint	Musacchio A, Salmon ED	2007	yeast_cell_cycle_control
17506685	10.1146/annurev.micro.61.080706.093409	Nitrogen regulation in bacteria and archaea	Leigh JA, Dodsworth JA	2007	ecoli_nitrogen_assimilation
17510284	10.1101/gad.1522707	PU.1 induces the commitment of multipotent progenitors to the myeloid lineage	Nerlov C, Graf T	2007	mouse_gata1_spi1_switch
17531815	10.1016/j.molcel.2007.04.018	Mechanism of mismatch recognition revealed by human MutSβ bound to unpaired DNA loops	Warren JJ, et al	2007	ecoli_mismatch_repair
17581577	10.1038/nature05978	Base excision repair of oxidative DNA damage	David SS, O'Shea VL, Kundu S	2007	ecoli_base_excision_repair
17666486	10.1152/ajpendo.00359.2007	Metabolic and electrical oscillations: partners in controlling pulsatile insulin secretion	Bertram R, Sherman A, Satin LS	2007	human_beta_cell_insulin_oscillator
17715057	10.1073/pnas.0703961104	A modular and extensible RNA-based gene-regulatory platform for engineering cellular function	Win MN, Smolke CD	2007	synthetic_protease_and_gate
17875410		Yeast osmoregulation.	Hohmann S	2007	yeast_osmotic_stress_response
17908933	10.1101/gad.1583407	Pluripotency governed by Sox2 via regulation of Oct3/4 expression in mouse embryonic stem cells	Masui S, Nakatake Y, Toyooka Y, et al.	2007	mouse_sox2_oct4_pluripotency
17974916	10.1101/gad.1602907	Inactivation of YAP oncoprotein by the Hippo pathway is involved in cell contact inhibition	Zhao B, Wei X, Li W, et al.	2007	human_hippo_yap
17988075	10.1895/wormbook.1.144.1	Dauer	Hu PJ	2007	celegans_dauer_decision
18264115	10.1038/nrmicro1843	Multilevel regulation of the heat shock response in E. coli	Guisbert E, Yura T, Rhodius VA, Gross CA	2008	ecoli_heat_shock_response
18299209	10.1016/j.bbapap.2008.01.013	The Snf1 kinase and energy homeostasis	Hedbacker K, Carlson M	2008	yeast_snf1_pathway
18322035	10.1128/mmbr.00020-07	Recombinational DNA repair in bacteria and the RecBCD pathway	Dillingham MS, Kowalczykowski SC	2008	ecoli_homologous_recombination
18322039	10.1128/mmbr.00014-07	Divisome assembly in Escherichia coli: a molecular perspective	den Blaauwen T, de Pedro MA, Nguyen-Distèche M, Ayala JA	2008	ecoli_cell_division
18364697	10.1038/ncb1711	A bistable Rb-E2F switch underlies the restriction point	Yao G, Lee TJ, Mori S, Nevins JR, You L	2008	human_rb_e2f_restriction_point
