doi	process_id	canonical_title	organism	circuit_class	ground_truth
	ecoli_sos_lexa	The SOS regulatory system of Escherichia coli	E. coli	II	yes
	ecoli_starvation_response	The RpoS sigma factor of Escherichia coli: synthesis and degradation	E. coli	II	no
	ecoli_stringent_response	ppGpp: still magical?	E. coli	II	no
	ecoli_sulfur_metabolism	Sulfur metabolism in Escherichia coli	E. coli	II	no
	ecoli_tca_cycle	The tricarboxylic acid cycle in Escherichia coli	E. coli	I	no
	ecoli_transcription_elongation	Structural basis of transcription: RNA polymerase II elongation complex at 3.3 Å resolution	E. coli	I	no
	ecoli_transcription_regulation	Bacterial transcription regulation and sigma factor competition	E. coli	I	no
	ecoli_transcription_termination	Transcription termination factor Rho is an RNA-DNA helicase associated with Rho-dependent terminators	E. coli	I	no
	ecoli_translation_elongation	Structural basis for translation termination on the 70S ribosome	E. coli	I	no
	ecoli_translation_initiation	Mechanism and regulation of protein synthesis in Escherichia coli	E. coli	I	no
	ecoli_trp_operon	Attenuation in the control of expression of bacterial operons	E. coli	II	no
	ecoli_tryptophan_biosynthesis	Tryptophan biosynthesis	E. coli	II	no
	ecoli_two_component_signaling	Signal transduction by the EnvZ-OmpR phosphorelay system in bacteria	E. coli	II	no
	human_akt_foxo_insulin	Akt promotes cell survival by phosphorylating and inhibiting a Forkhead transcription factor	Homo sapiens	II	yes
	human_ampk_energy_homeostat	AMPK: a nutrient and energy sensor that maintains energy homeostasis	Homo sapiens	II	yes
	human_apoptosis_caspase_switch	Mathematical modeling identifies inhibitors of apoptosis as mediators of positive feedback and bistability	Homo sapiens	III	yes
	human_bcl2_bax_momp	How cells die: apoptosis pathways	Homo sapiens	III	yes
	human_bcl6_gc_fate_switch	BCL-6 represses genes required for plasma cell differentiation	Homo sapiens	III	yes
	human_beta_cell_insulin_oscillator	Metabolic and electrical oscillations: partners in controlling pulsatile insulin secretion	Homo sapiens	IV	yes
	human_calcium_oscillator	The versatility and universality of calcium signalling	Homo sapiens	IV	yes
	human_camp_pka_desensitization	Historical review: a brief history and personal retrospective of seven-transmembrane receptors	Homo sapiens	II	yes
	human_cdk1_mitotic_switch	Hysteresis drives cell-cycle transitions in Xenopus laevis egg extracts	Homo sapiens	III	yes
	human_cebpa_myeloid_commitment	C/EBPα is required for the development of granulocytes and macrophages	Homo sapiens	III	yes
	human_cgas_sting_dna_sensing	Cyclic GMP-AMP synthase is a cytosolic DNA sensor that activates the type I interferon pathway	Homo sapiens	II	yes
	human_circadian_clock	Coordination of circadian timing in mammals	Homo sapiens	IV	yes
	human_emt_zeb_mir200	MicroRNA-based regulation of epithelial-hybrid-mesenchymal fate determination	Homo sapiens	III	yes
	human_erk_bistable_switch	The biochemical basis of an all-or-none cell fate switch in Xenopus oocytes	Homo sapiens	III	yes
	human_estrogen_receptor_switch	Genome-wide analysis of estrogen receptor binding sites	Homo sapiens	III	yes
	human_foxp3_treg_switch	Role of conserved non-coding DNA elements in the Foxp3 gene in regulatory T-cell commitment	Homo sapiens	III	yes
	human_gata1_pu1_switch	Bifurcation dynamics in lineage-commitment in bipotent progenitor cells	Homo sapiens	III	yes
	human_glucocorticoid_hpa_axis	Regulation of the hypothalamic-pituitary-adrenocortical stress response	Homo sapiens	II	yes
	human_hes1_oscillator	Oscillatory expression of the bHLH factor Hes1 regulated by a negative feedback loop	Homo sapiens	IV	yes
	human_hippo_yap	Inactivation of YAP oncoprotein by the Hippo pathway is involved in cell contact inhibition	Homo sapiens	II	yes
	human_hsf1_heat_shock	Regulation of the heat shock response in eukaryotes	Homo sapiens	II	yes
	human_il6_stat3_inflammation	An epigenetic switch involving NF-κB, Lin28, let-7 and IL6 links inflammation to transformation	Homo sapiens	III	yes
	human_ire1_xbp1_upr	The unfolded protein response: from stress pathway to homeostatic regulation	Homo sapiens	II	yes
	human_irf7_interferon_amplifier	IRF-7 is the master regulator of type-I interferon-dependent immune responses	Homo sapiens	III	yes
	human_iron_irp_ire	Two to tango: regulation of mammalian iron metabolism	Homo sapiens	II	yes
	human_jak_stat_socs	The role of suppressors of cytokine signalling (SOCS) proteins in regulation of the immune response	Homo sapiens	II	yes
	human_mtor_ulk1_autophagy	AMPK and mTOR regulate autophagy through direct phosphorylation of Ulk1	Homo sapiens	II	yes
	human_mtorc1_nutrient	The TSC1-2 tumor suppressor controls insulin-PI3K signaling via regulation of IRS proteins	Homo sapiens	II	yes
	human_myc_autoregulation	Negative autoregulation of c-myc transcription	Homo sapiens	II	yes
	human_myod_myogenesis	Positive autoregulation of the myogenic determination gene MyoD1	Homo sapiens	III	yes
	human_nfkb_ikb_oscillator	The IκB-NF-κB signaling module: temporal control and selective gene activation	Homo sapiens	IV	yes
	human_nlrp3_inflammasome	Prion-like polymerization underlies signal transduction in antiviral immune defense and inflammasome activation	Homo sapiens	III	yes
	human_notch_delta_lateral_inhibition	Pattern formation by lateral inhibition with feedback: a mathematical model of Delta-Notch intercellular signalling	Homo sapiens	III	yes
	human_nrf2_keap1	Keap1 represses nuclear activation of antioxidant responsive elements by Nrf2 through binding to the amino-terminal Neh2 domain	Homo sapiens	II	yes
	human_oct4_sox2_nanog_pluripotency	Core transcriptional regulatory circuitry in human embryonic stem cells	Homo sapiens	III	yes
	human_p16_rb_senescence	Oncogenic ras provokes premature cell senescence associated with accumulation of p53 and p16INK4a	Homo sapiens	III	yes
	human_p53_apoptosis_decision	p53 dynamics control cell fate	Homo sapiens	III	yes
	human_p53_mdm2	Dynamics of the p53-Mdm2 feedback loop in individual cells	Homo sapiens	IV	yes
	human_pd1_pdl1_checkpoint	The diverse functions of the PD1 inhibitory pathway	Homo sapiens	II	yes
	human_perk_atf4_isr	An integrated stress response regulates amino acid metabolism and resistance to oxidative stress	Homo sapiens	II	yes
	human_pten_pi3k_akt	The functions and regulation of the PTEN tumour suppressor	Homo sapiens	II	yes
	human_rb_e2f_restriction_point	A bistable Rb-E2F switch underlies the restriction point	Homo sapiens	III	yes
	human_rig_i_mavs_antiviral	MAVS forms functional prion-like aggregates to activate and propagate antiviral innate immune response	Homo sapiens	III	yes
	human_scl_tal1_hematopoietic_switch	The T cell leukemia gene SCL/tal-1 is essential for generation of hematopoietic lineages	Homo sapiens	III	yes
	human_shh_gli	The mechanisms of Hedgehog signalling and its roles in development and disease	Homo sapiens	II	yes
	human_snail_mir34_emt	miR-34 and SNAIL form a double-negative feedback loop to regulate epithelial-mesenchymal transition	Homo sapiens	III	yes
	human_tbet_gata3_th1_th2	A novel transcription factor, T-bet, directs Th1 lineage commitment	Homo sapiens	III	yes
	human_tgfbeta_smad	TGFβ signalling in context	Homo sapiens	II	yes
	human_tlr4_lps_amplification	Achieving stability of lipopolysaccharide-induced NF-κB activation	Homo sapiens	III	yes
	human_tnf_survival_death_decision	Induction of TNF receptor I-mediated apoptosis via two sequential signaling complexes	Homo sapiens	III	yes
	human_vhl_hif_oxygen_sensing	Oxygen sensing by metazoans: the central role of the HIF hydroxylase pathway	Homo sapiens	II	yes
	human_wnt_beta_catenin	Wnt/β-catenin signaling and disease	Homo sapiens	II	yes
	mouse_gata1_spi1_switch	PU.1 induces the commitment of multipotent progenitors to the myeloid lineage	Mus musculus	III	yes
	mouse_sox2_oct4_pluripotency	Pluripotency governed by Sox2 via regulation of Oct3/4 expression in mouse embryonic stem cells	Mus musculus	III	yes
	synthetic_5node_repressilator	A synthetic oscillatory network of transcriptional regulators	Synthetic circuit	IV	yes
	synthetic_and_gate	Engineering modular and orthogonal genetic logic gates for robust digital-like synthetic biology	Synthetic circuit	I	yes
	synthetic_antithetic_integral_feedback	Antithetic integral feedback ensures robust perfect adaptation in noisy biomolecular networks	Synthetic circuit	II	yes
	synthetic_atkinson_oscillator	Development of genetic circuitry exhibiting toggle switch or oscillatory behavior in Escherichia coli	Synthetic circuit	IV	yes
	synthetic_band_detector	A synthetic multicellular system for programmed pattern formation	Synthetic circuit	I	yes
	synthetic_burden_feedback_controller	Burden-driven feedback control of gene expression	Synthetic circuit	II	yes
	synthetic_coherent_ffl	Structure and function of the feed-forward loop network motif	Synthetic circuit	I	yes
	synthetic_consortium_logic	Robust multicellular computing using genetically encoded NOR gates and chemical wires	Synthetic circuit	I	yes
	synthetic_crispr_recorder	Genomically encoded analog memory with precise in vivo DNA writing in living cell populations	Synthetic circuit	V	yes
	synthetic_crispra_layered_logic	Highly efficient Cas9-mediated transcriptional programming	Synthetic circuit	I	yes
	synthetic_crispri_toggle	Multistable and dynamic CRISPRi-based synthetic circuits	Synthetic circuit	III	yes
	synthetic_dcas9_logic	Digital logic circuits in yeast with CRISPR-dCas9 NOR gates	Synthetic circuit	I	yes
	synthetic_edge_detector	A synthetic genetic edge detection program	Synthetic circuit	I	yes
	synthetic_fold_change_detector	The incoherent feedforward loop can provide fold-change detection in gene regulation	Synthetic circuit	II	yes
	synthetic_integrase_memory	Rewritable digital data storage in live cells via engineered control of recombination directionality	Synthetic circuit	V	yes
	synthetic_layered_nor_cascade	Genetic circuit design automation	Synthetic circuit	I	yes
	synthetic_light_sensor	Synthetic biology: engineering Escherichia coli to see light	Synthetic circuit	I	yes
	synthetic_metabolator	A synthetic gene-metabolic oscillator	Synthetic circuit	IV	yes
	synthetic_mutual_activation_bistable	Construction of a genetic toggle switch in Escherichia coli	Synthetic circuit	III	yes
	synthetic_negative_autoregulation	Negative autoregulation speeds the response times of transcription networks	Synthetic circuit	II	yes
	synthetic_phosphorelay_and	Environmentally controlled invasion of cancer cells by engineered bacteria	Synthetic circuit	I	yes
	synthetic_population_control	Programmed population control by cell-cell communication and regulated killing	Synthetic circuit	II	yes
	synthetic_positive_autoregulation	Positive feedback in eukaryotic gene networks: cell differentiation by graded to binary response conversion	Synthetic circuit	III	yes
	synthetic_protease_and_gate	A modular and extensible RNA-based gene-regulatory platform for engineering cellular function	Synthetic circuit	I	yes
	synthetic_recombinase_counter	Synthetic gene networks that count	Synthetic circuit	V	yes
	synthetic_rna_attenuator	Versatile RNA-sensing transcriptional regulators for engineering genetic networks	Synthetic circuit	I	yes
	synthetic_stricker_oscillator	A fast, robust and tunable synthetic gene oscillator	Synthetic circuit	IV	yes
	synthetic_synchronized_qs_oscillator	A synchronized quorum of genetic clocks	Synthetic circuit	IV	yes
	synthetic_theophylline_riboswitch	Genetic screens and selections for small molecules based on a synthetic riboswitch that activates protein translation	Synthetic circuit	I	yes
	synthetic_three_input_and	Genetic programs constructed from layered logic gates in single cells	Synthetic circuit	I	yes
	synthetic_toehold_riboregulator	Toehold switches: de-novo-designed regulators of gene expression	Synthetic circuit	I	yes
	synthetic_xor_gate	Amplifying genetic logic gates	Synthetic circuit	I	yes
	yeast_cell_cycle_control	Cyclins and cell cycle checkpoints	S. cerevisiae	IV	no
	yeast_cell_wall_integrity	The cell wall integrity pathway in yeast	S. cerevisiae	II	no
	yeast_chromatin_silencing	Silencing in yeast	S. cerevisiae	V	no
	yeast_er_stress_response	The unfolded protein response in yeast	S. cerevisiae	II	no
	yeast_gal_bistable_switch	Enhancement of cellular memory by reducing stochastic transitions	S. cerevisiae	III	yes
	yeast_gal_regulation	Multiple mechanisms provide rapid and stringent glucose repression of GAL gene expression in Saccharomyces cerevisiae	S. cerevisiae	III	no
	yeast_gcn4_starvation	Translational control by the eIF2α kinase GCN2	S. cerevisiae	II	no
	yeast_glycolysis	Evolution of glycolysis	S. cerevisiae	I	no
	yeast_heat_shock_response	Cytosolic proteostasis through importing of misfolded proteins into mitochondria.	S. cerevisiae	II	no
	yeast_hog_pathway	The HOG pathway controls osmotic regulation in yeast	S. cerevisiae	II	no
	yeast_mapk_mating	The pheromone response pathway in Saccharomyces cerevisiae	S. cerevisiae	III	no
	yeast_mating_response	Pheromone signaling mechanisms in yeast: a prototypical sex machine	S. cerevisiae	III	no
	yeast_mating_type_switching	Molecular analysis of a cell lineage	S. cerevisiae	V	no
	yeast_meiosis_regulation	Transcriptional regulation of meiosis in budding yeast	S. cerevisiae	III	no
	yeast_mitochondrial_biogenesis	Mitochondrial biogenesis in yeast	S. cerevisiae	I	no
	yeast_nitrogen_metabolism	Nitrogen catabolite repression in yeast	S. cerevisiae	II	no
	yeast_osmotic_stress_response	Genome-Wide Transcriptional Response of Saccharomyces cerevisiae to Stress-Induced Perturbations.	S. cerevisiae	II	no
	yeast_oxidative_stress_response	Free radicals, reactive oxygen species, oxidative stress and its classification.	S. cerevisiae	II	no
	yeast_pka_pathway	The cAMP-PKA pathway in yeast	S. cerevisiae	II	no
	yeast_protein_folding	Protein folding and secretion: mechanistic insights advancing recombinant protein production in S. cerevisiae.	S. cerevisiae	I	no
	yeast_rna_splicing	Pre-mRNA splicing in yeast	S. cerevisiae	I	no
	yeast_snf1_pathway	The Snf1 kinase and energy homeostasis	S. cerevisiae	II	no
	yeast_sup35_prion	Prions as adaptive conduits of memory and inheritance	S. cerevisiae	V	yes
	yeast_tor_signaling	TOR signaling in growth and metabolism	S. cerevisiae	II	no
	yeast_ubiquitin_proteasome	The ubiquitin-proteasome pathway: on protein death and cell life	S. cerevisiae	I	no
	yeast_unfolded_protein_response	The unfolded protein response: controlling cell fate decisions under ER stress and beyond	S. cerevisiae	II	no
	yeast_vesicle_trafficking	Mechanisms of vesicle formation and trafficking	S. cerevisiae	I	no
	yeast_whi5_sbf_start	Positive feedback of G1 cyclins ensures coherent cell cycle entry	S. cerevisiae	III	yes
	yeast_yeast_cell_polarity	Intrinsic and Extrinsic Determinants Linking Spindle Pole Fate, Spindle Polarity, and Asymmetric Cell Division in the Budding Yeast S. cerevisiae.	S. cerevisiae	III	no
	yeast_yeast_er_associated_degradation	Structural basis of ER-associated protein degradation mediated by the Hrd1 ubiquitin ligase complex.	S. cerevisiae	I	no
	yeast_yeast_glycolysis_regulation	Compartmentalization and metabolic regulation of glycolysis.	S. cerevisiae	II	no
	yeast_yeast_peroxisome_biogenesis	Characterization of Peroxisomal Regulation Networks.	S. cerevisiae	I	no
	yeast_yeast_vacuolar_protein_sorting	Interplay of energy metabolism and autophagy.	S. cerevisiae	I	no
